Nx,Ny,shift,p_x,p_left,p_diag,x_length,left_length,diag_length,left_over_diag,triangle_slack
32,35,3,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,4,32,280,1120,1.0,0.11428571428571428,0.02857142857142857,4.0,-0.8571428571428572
32,35,5,32,1120,140,1.0,0.02857142857142857,0.22857142857142856,0.125,-0.7428571428571429
32,35,6,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,7,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,8,32,140,1120,1.0,0.22857142857142856,0.02857142857142857,8.0,-0.7428571428571429
32,35,9,32,1120,280,1.0,0.02857142857142857,0.11428571428571428,0.25,-0.8571428571428572
32,35,10,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,11,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,12,32,280,1120,1.0,0.11428571428571428,0.02857142857142857,4.0,-0.8571428571428572
32,35,13,32,1120,70,1.0,0.02857142857142857,0.45714285714285713,0.0625,-0.5142857142857142
32,35,14,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,15,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,16,32,70,1120,1.0,0.45714285714285713,0.02857142857142857,16.0,-0.5142857142857142
32,35,17,32,1120,280,1.0,0.02857142857142857,0.11428571428571428,0.25,-0.8571428571428572
32,35,18,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,19,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,20,32,280,1120,1.0,0.11428571428571428,0.02857142857142857,4.0,-0.8571428571428572
32,35,21,32,1120,140,1.0,0.02857142857142857,0.22857142857142856,0.125,-0.7428571428571429
32,35,22,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,23,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,24,32,140,1120,1.0,0.22857142857142856,0.02857142857142857,8.0,-0.7428571428571429
32,35,25,32,1120,280,1.0,0.02857142857142857,0.11428571428571428,0.25,-0.8571428571428572
32,35,26,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,27,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,28,32,280,1120,1.0,0.11428571428571428,0.02857142857142857,4.0,-0.8571428571428572
32,35,29,32,1120,35,1.0,0.02857142857142857,0.9142857142857143,0.03125,-0.05714285714285716
32,35,30,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
32,35,31,32,1120,560,1.0,0.02857142857142857,0.05714285714285714,0.5,-0.9142857142857143
32,35,32,32,35,1120,1.0,0.9142857142857143,0.02857142857142857,32.0,-0.05714285714285716
32,36,0,32,36,288,1.0,0.8888888888888888,0.1111111111111111,8.0,0.0
32,36,1,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,2,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,3,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,4,32,288,144,1.0,0.1111111111111111,0.2222222222222222,0.5,-0.6666666666666667
32,36,5,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,6,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,7,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,8,32,144,288,1.0,0.2222222222222222,0.1111111111111111,2.0,-0.6666666666666667
32,36,9,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,10,32,576,576,1.0,0.05555555555555555,0.05555555555555555,1.0,-0.8888888888888888
32,36,11,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
32,36,12,32,288,72,1.0,0.1111111111111111,0.4444444444444444,0.25,-0.4444444444444444
32,36,13,32,1152,1152,1.0,0.027777777777777776,0.027777777777777776,1.0,-0.9444444444444444
