r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
1.0400000000	1.2400000000	0.4409480120	0.8406263812	0.2515294125	0.9839192220	1.0699688880	1.0877045435	0.8489941888	0.8547764346	0.8357738507	0.9932353707	0.9777689427	-0.0092892804	-0.0025016672	-0.0083955766	-0.0067876131	-0.0058939093	0.0000862907	0.0000062583	0.0000704857	0.0000460717	0.0000347382	0.0001630348	0.0000808099	0.0002438446	0.4050473113	0.5795106971	0.7180043705	0.3510651674	0.7734697545	1.7025623788	1.1245349219	2.8270973007
1.0400000000	1.2533333333	0.4380209892	0.8385894050	0.2505476460	0.9803874418	1.0717610437	1.0894441680	0.8484914193	0.8546560175	0.8353659690	0.9927870417	0.9774294592	-0.0098816502	-0.0026425527	-0.0088837245	-0.0072390975	-0.0062411718	0.0000976470	0.0000069831	0.0000789206	0.0000524045	0.0000389522	0.0001835507	0.0000913568	0.0002749074	0.4583535093	0.6466208359	0.8039262294	0.3993212518	0.8672987255	1.9089005745	1.2666199773	3.1755205518
1.0400000000	1.2666666667	0.4351272105	0.8365607288	0.2495755372	0.9768871186	1.0735372963	1.0911682386	0.8479899175	0.8545364886	0.8349588229	0.9923390385	0.9770897253	-0.0104728760	-0.0027824187	-0.0093712298	-0.0076904574	-0.0065888112	0.0001096811	0.0000077419	0.0000878199	0.0000591431	0.0000434124	0.0002052429	0.0001025556	0.0003077985	0.5148414869	0.7168814268	0.8945800618	0.4506692387	0.9666083897	2.1263029755	1.4172776283	3.5435806038
1.0400000000	1.2800000000	0.4322661433	0.8345403774	0.2486129317	0.9734178006	1.0752978734	1.0928769796	0.8474896585	0.8544178261	0.8345523830	0.9918913587	0.9767497324	-0.0110629852	-0.0029212900	-0.0098581267	-0.0081416951	-0.0069368366	0.0001223896	0.0000085339	0.0000971827	0.0000662872	0.0000481197	0.0002281062	0.0001144069	0.0003425131	0.5744950236	0.7902267604	0.9899535628	0.5051068386	1.0714190587	2.3546753468	1.5765258973	3.9312012441
1.0400000000	1.2933333333	0.4294372656	0.8325283722	0.2476596784	0.9699790448	1.0770429980	1.0945706108	0.8469906179	0.8543000092	0.8341466211	0.9914439995	0.9764094722	-0.0116520043	-0.0030591910	-0.0103444480	-0.0085928132	-0.0072852570	0.0001357692	0.0000093586	0.0001070076	0.0000738364	0.0000530750	0.0002521355	0.0001269114	0.0003790469	0.6372984763	0.8665937816	1.0900355852	0.5626318611	1.1817515636	2.5939278431	1.7443834248	4.3383112679
1.0400000000	1.3066666667	0.4266400663	0.8305247314	0.2467156298	0.9665704168	1.0787728887	1.0962493480	0.8464927717	0.8541830175	0.8337415095	0.9909969578	0.9760689366	-0.0122399594	-0.0031961449	-0.0108302259	-0.0090438145	-0.0076340809	0.0001498166	0.0000102153	0.0001172938	0.0000817906	0.0000582792	0.0002773257	0.0001400698	0.0004173955	0.7032367634	0.9459219559	1.1948160916	0.6232422213	1.2976272429	2.8439748109	1.9208694643	4.7648442752
1.0400000000	1.3200000000	0.4238740445	0.8285294704	0.2457806412	0.9631914910	1.0804877601	1.0979134025	0.8459960967	0.8540668314	0.8333370217	0.9905502305	0.9757281176	-0.0128268762	-0.0033321743	-0.0113154913	-0.0094947019	-0.0079833170	0.0001645288	0.0000111034	0.0001280403	0.0000901494	0.0000637334	0.0003036725	0.0001538827	0.0004575552	0.7722953476	1.0281531441	1.3042861092	0.6869359468	1.4190679298	3.1047346009	2.1060038765	5.2107384774
1.0400000000	1.3333333333	0.4211387096	0.8265426016	0.2448545713	0.9598418499	1.0821878223	1.0995629814	0.8455005698	0.8539514319	0.8329331318	0.9901038140	0.9753870075	-0.0134127797	-0.0034673011	-0.0118002746	-0.0099454787	-0.0083329735	0.0001799027	0.0000120222	0.0001392465	0.0000989125	0.0000694384	0.0003311713	0.0001683510	0.0004995223	0.8444602212	1.1132314825	1.4184376861	0.7537111831	1.5460959404	3.3761293898	2.2998071235	5.6759365133
1.0400000000	1.3466666667	0.4184335809	0.8245641349	0.2439372818	0.9565210841	1.0838732815	1.1011982880	0.8450061686	0.8538368008	0.8325298148	0.9896577048	0.9750455988	-0.0139976945	-0.0036015462	-0.0122846048	-0.0103961484	-0.0086830586	0.0001959355	0.0000129711	0.0001509115	0.0001080799	0.0000753955	0.0003598181	0.0001834754	0.0005432935	0.9197178903	1.2011032708	1.5372638501	0.8235661996	1.6787340621	3.6580850112	2.5023002617	6.1603852730
1.0400000000	1.3600000000	0.4157581872	0.8225940772	0.2430286375	0.9532287920	1.0855443402	1.1028195214	0.8445128712	0.8537229203	0.8321270464	0.9892118989	0.9747038842	-0.0145816446	-0.0037349301	-0.0127685104	-0.0108467146	-0.0090335803	0.0002126244	0.0000139497	0.0001630349	0.0001176512	0.0000816056	0.0003896089	0.0001992568	0.0005888657	0.9980553608	1.2917168652	1.6607585685	0.8964993937	1.8170055422	3.9505307944	2.7135049359	6.6640357303
1.0400000000	1.3733333333	0.4131120668	0.8206324333	0.2421285058	0.9499645799	1.0872011965	1.1044268772	0.8440206560	0.8536097733	0.8317248032	0.9887663924	0.9743618563	-0.0151646537	-0.0038674725	-0.0132520188	-0.0112971811	-0.0093845462	0.0002299667	0.0000149573	0.0001756160	0.0001276263	0.0000880697	0.0004205401	0.0002156960	0.0006362361	1.0794601234	1.3850225774	1.7889167107	0.9725092957	1.9609340760	4.2533994114	2.9334433718	7.1868427832
1.0400000000	1.3866666667	0.4104947673	0.8186792055	0.2412367572	0.9467280613	1.0888440453	1.1060205470	0.8435295022	0.8534973432	0.8313230624	0.9883211810	0.9740195082	-0.0157467447	-0.0039991926	-0.0137351568	-0.0117475521	-0.0097359642	0.0002479600	0.0000159935	0.0001886545	0.0001380050	0.0000947890	0.0004526080	0.0002327940	0.0006854020	1.1639201408	1.4809725793	1.9217340114	1.0515945724	2.1105437968	4.5666267315	3.1621383692	7.7287651008
1.0400000000	1.4000000000	0.4079058451	0.8167343939	0.2403532648	0.9435188573	1.0904730774	1.1076007189	0.8430393889	0.8533856139	0.8309218020	0.9878762604	0.9736768332	-0.0163279404	-0.0041301088	-0.0142179502	-0.0121978316	-0.0100878415	0.0002666016	0.0000170578	0.0002021501	0.0001487871	0.0001017645	0.0004858095	0.0002505516	0.0007363612	1.2514238337	1.5795208126	2.0592070365	1.1337540307	2.2658592641	4.8901516827	3.3996132948	8.2897649775
1.0533333333	0.6000000000	0.6345609256	0.9512938295	0.3127321855	1.2040283809	0.9550361611	0.9825281116	0.8757679002	0.8623752576	0.8571978392	1.0155299476	0.9939963278	0.0217594797	0.0063488876	0.0169151033	0.0154105921	0.0105662157	0.0004734750	0.0000403084	0.0002861207	0.0002374863	0.0001116449	0.0007999041	0.0003491313	0.0011490353	2.2224839065	3.7324814050	2.9145757355	1.8096401741	2.4858526487	8.8695410469	4.2954928228	13.1650338697
1.0533333333	0.6133333333	0.6291052060	0.9489795598	0.3110158746	1.1982153582	0.9579908580	0.9853864373	0.8751581723	0.8621613019	0.8566931869	1.0150747550	0.9936576660	0.0210630164	0.0061007563	0.0163262067	0.0149622600	0.0102254504	0.0004436507	0.0000372192	0.0002665450	0.0002238692	0.0001045598	0.0007474149	0.0003284291	0.0010758440	2.0824891204	3.4464321613	2.7151674401	1.7058780207	2.3280983708	8.2440887218	4.0339763914	12.2780651133
1.0533333333	0.6266666667	0.6237293096	0.9466634166	0.3093236374	1.1924725365	0.9609101333	0.9882099838	0.8745519983	0.8619511530	0.8561928313	1.0146189785	0.9933194339	0.0203701313	0.0058569800	0.0157419814	0.0145131513	0.0098850014	0.0004149423	0.0000343042	0.0002478100	0.0002106316	0.0000977133	0.0006970564	0.0003083448	0.0010054013	1.9477323151	3.1765073180	2.5243224239	1.6050073479	2.1756543782	7.6485620570	3.7806617261	11.4292237832
1.0533333333	0.6400000000	0.6184316135	0.9443460058	0.3076549253	1.1867985535	0.9637946687	0.9909994313	0.8739492994	0.8617446780	0.8556966183	1.0141626884	0.9929816106	0.0196807422	0.0056174077	0.0151622559	0.0140633345	0.0095448482	0.0003873316	0.0000315553	0.0002298940	0.0001977774	0.0000911041	0.0006487809	0.0002888815	0.0009376624	1.8181284233	2.9219599815	2.3418209147	1.5070587825	2.0284975634	7.0819093195	3.5355563459	10.6174656654
1.0533333333	0.6533333333	0.6132105360	0.9420279029	0.3060092069	1.1811920833	0.9666451281	0.9937554422	0.8733499987	0.8615417497	0.8552044000	1.0137059511	0.9926441758	0.0189947685	0.0053818944	0.0145868651	0.0136128740	0.0092049707	0.0003608012	0.0000289648	0.0002127766	0.0001853103	0.0000847315	0.0006025427	0.0002700418	0.0008725845	1.6935952214	2.6820861594	2.1674543949	1.4120602559	1.8866061839	6.5431357757	3.2986664398	9.8418022155
1.0533333333	0.6666666667	0.6080645352	0.9397096541	0.3043859674	1.1756518346	0.9694621580	0.9964786610	0.8727540213	0.8613422455	0.8547160337	1.0132488286	0.9923071092	0.0183121316	0.0051503012	0.0140156499	0.0131618305	0.0088653487	0.0003353342	0.0000265256	0.0001964384	0.0001732338	0.0000785944	0.0005582982	0.0002518282	0.0008101264	1.5740532288	2.4562220512	2.0010250028	1.3200371789	1.7499598399	6.0313002828	3.0699970187	9.1012973016
1.0533333333	0.6800000000	0.6029921082	0.9373917784	0.3027847076	1.1701765501	0.9722463881	0.9991697154	0.8721612941	0.8611460482	0.8542313823	1.0127913795	0.9919703912	0.0176327551	0.0049224943	0.0134484570	0.0127102608	0.0085259627	0.0003109141	0.0000242310	0.0001808610	0.0001615507	0.0000726920	0.0005160060	0.0002342428	0.0007502488	1.4594256113	2.2437415227	1.8423449698	1.2310126065	1.6185394521	5.5455121039	2.8495520585	8.3950641624
1.0533333333	0.6933333333	0.5979917896	0.9350747680	0.3012049441	1.1647650049	0.9749984320	1.0018292167	0.8715717458	0.8609530451	0.8537503137	1.0123336584	0.9916340021	0.0169565642	0.0046983457	0.0128851388	0.0122582185	0.0081867931	0.0002875251	0.0000220745	0.0001660268	0.0001502639	0.0000670236	0.0004756263	0.0002172875	0.0006929138	1.3496380880	2.0440537522	1.6912360899	1.1450073945	1.4923272391	5.0849279301	2.6373346336	7.7222625637
1.0533333333	0.7066666667	0.5930621506	0.9327590903	0.2996462077	1.1594160058	0.9777188877	1.0044577601	0.8709853071	0.8607631281	0.8532727008	1.0118757167	0.9912979226	0.0162834858	0.0044777321	0.0123255529	0.0118057537	0.0078478209	0.0002651519	0.0000200501	0.0001519193	0.0001393758	0.0000615883	0.0004371213	0.0002009641	0.0006380854	1.2446188419	1.8566010343	1.5475292213	1.0620403461	1.3713066956	4.6487490975	2.4333470417	7.0820961392
1.0533333333	0.7200000000	0.5882017980	0.9304451889	0.2981080435	1.1541283902	0.9804083378	1.0070559255	0.8704019103	0.8605761934	0.8527984209	1.0114176026	0.9909621339	0.0156134489	0.0042605352	0.0117695622	0.0113529137	0.0075090270	0.0002437798	0.0000181522	0.0001385226	0.0001288886	0.0000563855	0.0004004545	0.0001852741	0.0005857287	1.1442984339	1.6808567324	1.4110638161	0.9821283513	1.2554625694	4.2362189824	2.2375909207	6.4738099031
