# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
34 4 -5 2.8717500000000001e-01 4.4501591404128458e-03 2.8707993749999999e-01 4.4542975251603192e-03
35 4 -4 2.8820000000000001e-01 4.6672089625385323e-03 2.8810493749999999e-01 4.6711203715392282e-03
36 4 -3 2.8717500000000001e-01 4.4501591404128458e-03 2.8707993749999999e-01 4.4542975251603192e-03
37 4 -2 2.8473749999999998e-01 4.3620600028828121e-03 2.8464243749999996e-01 4.3660842518743123e-03
38 4 -1 2.8033750000000002e-01 4.5057070442661934e-03 2.8024243750000000e-01 4.5101437812905334e-03
39 4 0 2.7927500000000000e-01 4.7344648456821396e-03 2.7917993749999997e-01 4.7392471355942982e-03
40 5 -7 3.1254999999999999e-01 4.0767250336513992e-03 3.1245493749999997e-01 4.0821990777697862e-03
41 5 -6 3.1685000000000002e-01 4.0617456838162574e-03 3.1675493750000000e-01 4.0664861276483097e-03
42 5 -5 3.0320000000000003e-01 4.2821083592081135e-03 3.0310493750000000e-01 4.2868150650456696e-03
43 5 -4 2.8703750000000000e-01 4.4498793206951132e-03 2.8694243749999998e-01 4.4543678191869039e-03
44 5 -3 2.7639999999999998e-01 4.4611148270359505e-03 2.7630493749999996e-01 4.4655278255311022e-03
45 5 -2 2.7306249999999999e-01 4.4986490159546789e-03 2.7296743749999997e-01 4.5027848228186111e-03
46 5 -1 2.8070000000000001e-01 4.5213316069494395e-03 2.8060493749999998e-01 4.5260254260516492e-03
47 5 0 2.9893750000000002e-01 4.3035151874659386e-03 2.9884243750000000e-01 4.3082470769171353e-03
48 6 -7 3.8437500000000002e-01 3.3816947489387619e-03 3.8427993750000000e-01 3.3872055235647548e-03
49 6 -6 3.6078749999999998e-01 3.6115363377308002e-03 3.6069243749999996e-01 3.6178389706500026e-03
50 6 -5 3.1601249999999997e-01 4.0296403336712331e-03 3.1591743749999995e-01 4.0351949084966934e-03
51 6 -4 2.8567500000000001e-01 4.3376429515348544e-03 2.8557993749999999e-01 4.3426375416746555e-03
52 6 -3 2.7406249999999999e-01 4.4722735234721499e-03 2.7396743749999997e-01 4.4763480348068083e-03
53 6 -2 2.8307500000000002e-01 4.4072336987048917e-03 2.8297993750000000e-01 4.4109546624875413e-03
54 6 -1 3.1226250000000000e-01 4.1073662447790064e-03 3.1216743749999998e-01 4.1122027206718101e-03
55 6 0 3.5698750000000001e-01 3.6402202843715376e-03 3.5689243749999999e-01 3.6463857845959909e-03
56 7 -7 5.0637500000000002e-01 2.5217795056269288e-03 5.0627993750000000e-01 2.5281884661089164e-03
57 7 -6 3.8350000000000001e-01 3.3642309671008020e-03 3.8340493749999999e-01 3.3703397122058550e-03
58 7 -5 3.1391249999999998e-01 4.0345857555330262e-03 3.1381743749999996e-01 4.0405758947756332e-03
59 7 -4 2.8249999999999997e-01 4.5000000000000005e-03 2.8240493749999995e-01 4.5046894338180918e-03
60 7 -3 2.8337499999999999e-01 4.4936451656756348e-03 2.8327993749999997e-01 4.4982704735649281e-03
61 7 -2 3.1280000000000002e-01 4.0971767108583445e-03 3.1270493750000000e-01 4.1014282454421222e-03
62 7 -1 3.8285000000000002e-01 3.4184500142608490e-03 3.8275493750000000e-01 3.4247694705659402e-03
63 7 0 5.0737500000000002e-01 2.5159609247760581e-03 5.0727993750000000e-01 2.5236610641130486e-03
