# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
21 0 -10 2.3312773437500001e-01 1.9244845198070387e-03 2.3312553506282807e-01 1.9248817881846337e-03
22 0 -9 2.4340624999999999e-01 1.8388333445007070e-03 2.4340405068782806e-01 1.8392306324954992e-03
23 0 -8 2.5618281250000002e-01 1.7406716991182818e-03 2.5618061318782809e-01 1.7410598790351750e-03
24 0 -7 2.7226523437500000e-01 1.6369440850208478e-03 2.7226303506282806e-01 1.6373113068150450e-03
25 0 -6 2.9296406250000001e-01 1.5151730955641613e-03 2.9296186318782808e-01 1.5155281032990754e-03
26 0 -5 3.1928046874999999e-01 1.3784243571683791e-03 3.1927826943782806e-01 1.3787616885073220e-03
27 0 -4 3.5387070312500002e-01 1.2231268670381183e-03 3.5386850381282808e-01 1.2234415940755969e-03
28 0 -3 4.0127382812500001e-01 1.0422361650507148e-03 4.0127162881282807e-01 1.0425010478687781e-03
29 0 -2 4.7302968750000002e-01 8.2254871967576092e-04 4.7302748818782808e-01 8.2280995452740176e-04
30 0 -1 6.0658320312500003e-01 5.2714015732832989e-04 6.0658100381282809e-01 5.2740457339053230e-04
31 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9999780068782806e-01 1.4647144143442066e-05
32 1 -31 4.9858398437500001e-01 7.5560375376223740e-04 4.9858178506282808e-01 7.5587162471344664e-04
33 1 -30 4.2260312500000002e-01 9.7027259932051444e-04 4.2260092568782809e-01 9.7057025424849240e-04
34 1 -29 3.7035078124999998e-01 1.1540141653318752e-03 3.7034858193782805e-01 1.1543342135146809e-03
35 1 -28 3.3276718750000001e-01 1.3154990994353564e-03 3.3276498818782807e-01 1.3158408512615157e-03
36 1 -27 3.0381718749999997e-01 1.4577691455068592e-03 3.0381498818782804e-01 1.4581037268263199e-03
37 1 -26 2.8100351562499998e-01 1.5831221732432498e-03 2.8100131631282804e-01 1.5834751448956040e-03
38 1 -25 2.6320039062500000e-01 1.6936266781483790e-03 2.6319819131282807e-01 1.6939942138484566e-03
39 1 -24 2.4891250000000001e-01 1.7949075053151674e-03 2.4891030068782807e-01 1.7952813616008976e-03
40 1 -23 2.3780273437499999e-01 1.8854829406330720e-03 2.3780053506282806e-01 1.8858637175422329e-03
41 1 -22 2.2838085937499999e-01 1.9651111156894475e-03 2.2837866006282806e-01 1.9654845539170632e-03
42 1 -21 2.2124335937500000e-01 2.0362576018826731e-03 2.2124116006282807e-01 2.0366347566557492e-03
43 1 -20 2.1594882812499999e-01 2.1004123346840139e-03 2.1594662881282806e-01 2.1008047166100234e-03
44 1 -19 2.1202812500000001e-01 2.1558703269675609e-03 2.1202592568782808e-01 2.1562722236087195e-03
45 1 -18 2.0919335937500000e-01 2.1989554744131445e-03 2.0919116006282806e-01 2.1993624337274718e-03
46 1 -17 2.0796562499999999e-01 2.2249657046163095e-03 2.0796342568782805e-01 2.2253864600544409e-03
47 1 -16 2.0810429687500001e-01 2.2233733465049474e-03 2.0810209756282808e-01 2.2238045200428228e-03
48 1 -15 2.0929882812500000e-01 2.1979171324911723e-03 2.0929662881282807e-01 2.1983332347681808e-03
49 1 -14 2.1162187499999999e-01 2.1551967199899573e-03 2.1161967568782805e-01 2.1556205008395769e-03
50 1 -13 2.1559101562499999e-01 2.0992245302498516e-03 2.1558881631282806e-01 2.0996328488115147e-03
51 1 -12 2.2134101562500000e-01 2.0353803158766615e-03 2.2133881631282806e-01 2.0357897815479532e-03
52 1 -11 2.2836718750000001e-01 1.9675114516200048e-03 2.2836498818782808e-01 1.9679297074436967e-03
53 1 -10 2.3743242187499999e-01 1.8867446623762449e-03 2.3743022256282806e-01 1.8871693186619668e-03
54 1 -9 2.4885273437500000e-01 1.7951432043177443e-03 2.4885053506282806e-01 1.7955491956920201e-03
55 1 -8 2.6298593749999999e-01 1.6930024424860327e-03 2.6298373818782805e-01 1.6933882221674241e-03
56 1 -7 2.8095898437500000e-01 1.5821350032287928e-03 2.8095678506282806e-01 1.5824862461390294e-03
57 1 -6 3.0335351562500001e-01 1.4600554436124133e-03 3.0335131631282808e-01 1.4604010759057850e-03
58 1 -5 3.3251445312500000e-01 1.3186459748142870e-03 3.3251225381282806e-01 1.3189927737833789e-03
59 1 -4 3.7043359375000001e-01 1.1565533801473971e-03 3.7043139443782808e-01 1.1568661507661507e-03
60 1 -3 4.2246953124999997e-01 9.7241559770785708e-04 4.2246733193782804e-01 9.7274155122830405e-04
61 1 -2 4.9849414062500003e-01 7.5521854875342203e-04 4.9849194131282809e-01 7.5555248501332371e-04
62 1 -1 6.0676249999999998e-01 5.3078349600275683e-04 6.0676030068782805e-01 5.3111714284132026e-04
63 1 0 6.0652695312500005e-01 5.2793993092344201e-04 6.0652475381282811e-01 5.2828107188013381e-04
64 2 -31 4.2275507812500002e-01 9.6943110185284569e-04 4.2275287881282808e-01 9.6975383695582188e-04
65 2 -30 3.7699726562500002e-01 1.1279244435145940e-03 3.7699506631282809e-01 1.1282488558746343e-03
66 2 -29 3.4021328125000000e-01 1.2782954995681978e-03 3.4021108193782806e-01 1.2786643551741515e-03
67 2 -28 3.1134531250000003e-01 1.4176042385304890e-03 3.1134311318782809e-01 1.4179604834824923e-03
68 2 -27 2.8772265624999999e-01 1.5430237089697849e-03 2.8772045693782805e-01 1.5433712263547546e-03
69 2 -26 2.6879609375000002e-01 1.6541457283925367e-03 2.6879389443782808e-01 1.6544905887923794e-03
70 2 -25 2.5372929687500001e-01 1.7574506780006251e-03 2.5372709756282807e-01 1.7577969044684368e-03
71 2 -24 2.4164687500000001e-01 1.8505239396112167e-03 2.4164467568782808e-01 1.8508961821488959e-03
72 2 -23 2.3199648437500001e-01 1.9312513987870070e-03 2.3199428506282807e-01 1.9316419973543404e-03
73 2 -22 2.2392421874999999e-01 2.0040362389461119e-03 2.2392201943782805e-01 2.0044036476242247e-03
74 2 -21 2.1806757812499999e-01 2.0703682848874374e-03 2.1806537881282806e-01 2.0707546611481529e-03
75 2 -20 2.1334296875000000e-01 2.1244574324432068e-03 2.1334076943782807e-01 2.1248423209010367e-03
76 2 -19 2.0986210937499999e-01 2.1681875980158680e-03 2.0985991006282806e-01 2.1685885055143807e-03
77 2 -18 2.0800664062499999e-01 2.2005377198713360e-03 2.0800444131282805e-01 2.2009437996148673e-03
78 2 -17 2.0749296875000001e-01 2.2105339422857904e-03 2.0749076943782807e-01 2.2109596016466615e-03
79 2 -16 2.0830117187500000e-01 2.1986275327892271e-03 2.0829897256282806e-01 2.1990533989810165e-03
80 2 -15 2.1000507812499999e-01 2.1681670525544364e-03 2.1000287881282806e-01 2.1685844212915857e-03
81 2 -14 2.1280742187500001e-01 2.1247925228698281e-03 2.1280522256282808e-01 2.1252030995105686e-03
82 2 -13 2.1747109375000001e-01 2.0691287923692960e-03 2.1746889443782808e-01 2.0695290622803706e-03
83 2 -12 2.2381132812499999e-01 2.0010540517382100e-03 2.2380912881282805e-01 2.0014533631009927e-03
84 2 -11 2.3157968749999999e-01 1.9306255297906162e-03 2.3157748818782806e-01 1.9310466982555489e-03
85 2 -10 2.4137304687500000e-01 1.8487022292624244e-03 2.4137084756282806e-01 1.8491096693888534e-03
86 2 -9 2.5342773437499999e-01 1.7574533026014048e-03 2.5342553506282806e-01 1.7578595323230947e-03
87 2 -8 2.6861992187500000e-01 1.6579135914363300e-03 2.6861772256282807e-01 1.6583111485770198e-03
88 2 -7 2.8735351562500000e-01 1.5459719061969939e-03 2.8735131631282806e-01 1.5463485751573199e-03
89 2 -6 3.1091445312499999e-01 1.4221750977470159e-03 3.1091225381282805e-01 1.4225543672318219e-03
90 2 -5 3.3987382812500000e-01 1.2847019290456176e-03 3.3987162881282806e-01 1.2850773463205236e-03
91 2 -4 3.7692812500000000e-01 1.1297067873094183e-03 3.7692592568782807e-01 1.1300752776755647e-03
92 2 -3 4.2238046875000002e-01 9.6991287283755318e-04 4.2237826943782808e-01 9.7029736606397477e-04
93 2 -2 4.7310859374999997e-01 8.2190283932026813e-04 4.7310639443782804e-01 8.2225532251333606e-04
94 2 -1 4.9848320312500000e-01 7.5504116639333631e-04 4.9848100381282806e-01 7.5542526015072106e-04
95 2 0 4.7299374999999999e-01 8.2223707922540420e-04 4.7299155068782806e-01 8.2256981402334351e-04
96 3 -31 3.7064453125000002e-01 1.1531604461597707e-03 3.7064233193782808e-01 1.1535379359239710e-03
97 3 -30 3.4044804687500002e-01 1.2792575542084508e-03 3.4044584756282809e-01 1.2796157058075498e-03
98 3 -29 3.1407070312500002e-01 1.4012514328226996e-03 3.1406850381282808e-01 1.4016208393365594e-03
99 3 -28 2.9132773437499998e-01 1.5207971991947160e-03 2.9132553506282804e-01 1.5211574710520927e-03
100 3 -27 2.7289140625000002e-01 1.6282224921139253e-03 2.7288920693782809e-01 1.6285769285710127e-03
101 3 -26 2.5721406250000001e-01 1.7277569970822852e-03 2.5721186318782807e-01 1.7281071680408299e-03
102 3 -25 2.4455781250000000e-01 1.8206735801346685e-03 2.4455561318782806e-01 1.8210361207798864e-03
103 3 -24 2.3454492187500001e-01 1.9019220399132011e-03 2.3454272256282807e-01 1.9022854344195451e-03
104 3 -23 2.2618164062500001e-01 1.9753950641349109e-03 2.2617944131282808e-01 1.9757623791080538e-03
105 3 -22 2.1983359375000000e-01 2.0391339072596089e-03 2.1983139443782806e-01 2.0395100225133983e-03
106 3 -21 2.1471132812499999e-01 2.0969924282761340e-03 2.1470912881282805e-01 2.0973943988183866e-03
107 3 -20 2.1101132812500001e-01 2.1407343945837108e-03 2.1100912881282807e-01 2.1411272833779210e-03
108 3 -19 2.0827070312500001e-01 2.1715504692022144e-03 2.0826850381282808e-01 2.1719427270876206e-03
109 3 -18 2.0728632812500000e-01 2.1884942759595222e-03 2.0728412881282807e-01 2.1888857276174201e-03
