r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
4.7027828198	4.4123460860	0.1722033132	1.0176103515	0.0842129031	0.8878950607	0.8505363772	1.4031612157	1.0063940370	1.0000000000	0.9302757402	1.0063940370	0.9302757402	0.0539416883	0.0000000000	0.0277486930	0.0539416883	0.0277486930	0.0029097057	0.0000000000	0.0007699900	0.0029097057	0.0007699900	0.0036796957	0.0036796957	0.0073593914
4.7027828198	5.8831281147	0.1310510730	0.8824451348	0.0739842436	0.7931039910	0.9251238063	1.4233648563	0.9771366451	1.0000000000	0.9172284130	0.9771366451	0.9172284130	0.0244392316	0.0000000000	0.0136241844	0.0244392316	0.0136241844	0.0005972760	0.0000000000	0.0001856184	0.0005972760	0.0001856184	0.0007828944	0.0007828944	0.0015657889
4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0664218040	0.7201156233	0.9831353019	1.4383417283	0.9535456238	1.0000000000	0.9048166659	0.9535456238	0.9048166659	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
4.7027828198	8.8246921720	0.0863801714	0.7116276160	0.0605439150	0.6617482402	1.0298410930	1.4500033204	0.9334521968	1.0000000000	0.8928935033	0.9334521968	0.8928935033	-0.0212975195	0.0000000000	-0.0132650276	-0.0212975195	-0.0132650276	0.0004535843	0.0000000000	0.0001759610	0.0004535843	0.0001759610	0.0006295453	0.0006295453	0.0012590906
4.7027828198	10.2954742007	0.0730476457	0.6530613244	0.0558111263	0.6137565820	1.0684309233	1.4594051482	0.9157157309	1.0000000000	0.8813727833	0.9157157309	0.8813727833	-0.0404812936	0.0000000000	-0.0262516711	-0.0404812936	-0.0262516711	0.0016387351	0.0000000000	0.0006891502	0.0016387351	0.0006891502	0.0023278854	0.0023278854	0.0046557707
5.6433393837	4.4123460860	0.1740570946	1.1187725310	0.0774788720	0.9348524716	0.7902851576	1.4164550244	1.0254819471	1.0000000000	0.9390948942	1.0254819471	0.9390948942	0.0727307007	0.0000000000	0.0371841889	0.0727307007	0.0371841889	0.0052897548	0.0000000000	0.0013826639	0.0052897548	0.0013826639	0.0066724187	0.0066724187	0.0133448375
5.6433393837	5.8831281147	0.1330084699	0.9695954995	0.0683763491	0.8412068030	0.8659179618	1.4344678888	0.9956496796	1.0000000000	0.9272278154	0.9956496796	0.9272278154	0.0432081958	0.0000000000	0.0244669469	0.0432081958	0.0244669469	0.0018669482	0.0000000000	0.0005986315	0.0018669482	0.0005986315	0.0024655797	0.0024655797	0.0049311593
5.6433393837	7.3539101433	0.1065989686	0.8630294361	0.0616026255	0.7681082283	0.9255828275	1.4479015978	0.9720085313	1.0000000000	0.9159705837	0.9720085313	0.9159705837	0.0191773089	0.0000000000	0.0122519063	0.0191773089	0.0122519063	0.0003677692	0.0000000000	0.0001501092	0.0003677692	0.0001501092	0.0005178784	0.0005178784	0.0010357568
5.6433393837	8.8246921720	0.0882688010	0.7821149006	0.0563104502	0.7090251152	0.9741547935	1.4584127449	0.9521487021	1.0000000000	0.9051810782	0.9521487021	0.9051810782	-0.0014660503	0.0000000000	0.0004026660	-0.0014660503	0.0004026660	0.0000021493	0.0000000000	0.0000001621	0.0000021493	0.0000001621	0.0000023114	0.0000023114	0.0000046229
5.6433393837	10.2954742007	0.0748563892	0.7180462229	0.0520310913	0.6600254458	1.0146457566	1.4669214511	0.9348170189	1.0000000000	0.8947726732	0.9348170189	0.8947726732	-0.0198364642	0.0000000000	-0.0111626545	-0.0198364642	-0.0111626545	0.0003934853	0.0000000000	0.0001246049	0.0003934853	0.0001246049	0.0005180902	0.0005180902	0.0010361803
6.5838959477	4.4123460860	0.1754777605	1.2150090309	0.0719638189	0.9745679798	0.7396616286	1.4273630451	1.0426816234	1.0000000000	0.9461570524	1.0426816234	0.9461570524	0.0893638850	0.0000000000	0.0446762285	0.0893638850	0.0446762285	0.0079859039	0.0000000000	0.0019959654	0.0079859039	0.0019959654	0.0099818693	0.0099818693	0.0199637387
6.5838959477	5.8831281147	0.1345325356	1.0522630725	0.0637524504	0.8824963714	0.8154607686	1.4436355135	1.0120290574	1.0000000000	0.9352409403	1.0120290574	0.9352409403	0.0595252896	0.0000000000	0.0330718421	0.0595252896	0.0330718421	0.0035432601	0.0000000000	0.0010937467	0.0035432601	0.0010937467	0.0046370068	0.0046370068	0.0092740137
6.5838959477	7.3539101433	0.1081349063	0.9364488696	0.0576091375	0.8097785176	0.8759820017	1.4558321343	0.9881086748	1.0000000000	0.9248985939	0.9881086748	0.9248985939	0.0356054139	0.0000000000	0.0219517592	0.0356054139	0.0219517592	0.0012677455	0.0000000000	0.0004818797	0.0012677455	0.0004818797	0.0017496252	0.0017496252	0.0034992505
6.5838959477	8.8246921720	0.0897737103	0.8487339559	0.0527887142	0.7504529160	0.9257252459	1.4654144917	0.9682580319	1.0000000000	0.9149993996	0.9682580319	0.9149993996	0.0153113410	0.0000000000	0.0111910651	0.0153113410	0.0111910651	0.0002344372	0.0000000000	0.0001252399	0.0002344372	0.0001252399	0.0003596771	0.0003596771	0.0007193542
6.5838959477	10.2954742007	0.0763104006	0.7793985798	0.0488767903	0.7008768452	0.9675177481	1.4731980603	0.9511089456	1.0000000000	0.9054611218	0.9511089456	0.9054611218	-0.0025586577	0.0000000000	0.0007119967	-0.0025586577	0.0007119967	0.0000065467	0.0000000000	0.0000005069	0.0000065467	0.0000005069	0.0000070537	0.0000070537	0.0000141073
