# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
42 5 -5 3.1883125000000001e-01 3.0867179114463551e-03 3.1881270621093749e-01 3.0872820627248043e-03
43 5 -4 3.0386875000000002e-01 3.2110665813470372e-03 3.0385020621093750e-01 3.2114958731631073e-03
44 5 -3 2.9389375000000001e-01 3.2023474489183321e-03 2.9387520621093749e-01 3.2028740268694807e-03
45 5 -2 2.9454374999999999e-01 3.2091275287987153e-03 2.9452520621093747e-01 3.2095169231800462e-03
46 5 -1 3.0111250000000001e-01 3.2329240803605332e-03 3.0109395621093749e-01 3.2334472550154644e-03
47 5 0 3.1746249999999998e-01 3.1084999170620867e-03 3.1744395621093746e-01 3.1089458337767856e-03
48 6 -7 4.0048750000000000e-01 2.4259581837647163e-03 4.0046895621093748e-01 2.4265461040185849e-03
49 6 -6 3.7626874999999999e-01 2.5983835051515687e-03 3.7625020621093747e-01 2.5989308873154847e-03
50 6 -5 3.3205625000000000e-01 2.9095340041136743e-03 3.3203770621093748e-01 2.9100805250211253e-03
51 6 -4 3.0325625000000000e-01 3.1340759198037545e-03 3.0323770621093749e-01 3.1345179656658210e-03
52 6 -3 2.9466874999999998e-01 3.1981014821052429e-03 2.9465020621093746e-01 3.1984376007572501e-03
53 6 -2 3.0481249999999999e-01 3.1250419372186033e-03 3.0479395621093747e-01 3.1254717919224238e-03
54 6 -1 3.3155625000000000e-01 2.9188996207635764e-03 3.3153770621093748e-01 2.9194599481852141e-03
55 6 0 3.7556875000000001e-01 2.5969496221227989e-03 3.7555020621093749e-01 2.5974879235336110e-03
56 7 -7 5.1949999999999996e-01 1.8069155348272384e-03 5.1948145621093744e-01 1.8075297374039302e-03
57 7 -6 3.9948750000000000e-01 2.4124589342359795e-03 3.9946895621093748e-01 2.4130777665554519e-03
58 7 -5 3.3206875000000002e-01 2.9155743156098332e-03 3.3205020621093750e-01 2.9162064548288276e-03
59 7 -4 3.0446250000000002e-01 3.1833344129033945e-03 3.0444395621093751e-01 3.1839027757687905e-03
60 7 -3 3.0355625000000003e-01 3.1940632423441066e-03 3.0353770621093751e-01 3.1946329890440565e-03
61 7 -2 3.3120624999999998e-01 2.9082130137927913e-03 3.3118770621093746e-01 2.9087313183298589e-03
62 7 -1 3.9968124999999999e-01 2.4209013357309197e-03 3.9966270621093747e-01 2.4214753330105833e-03
63 7 0 5.2049374999999998e-01 1.8024702656614759e-03 5.2047520621093746e-01 1.8033059874827482e-03
