# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
20 2 -3 3.1533749999999999e-01 1.2923869280811377e-03 3.1529114092343752e-01 1.2925167056745477e-03
21 2 -2 3.5962000000000000e-01 1.1541204928429269e-03 3.5957364092343752e-01 1.1543261211761295e-03
22 2 -1 3.8470500000000002e-01 1.0780772859586643e-03 3.8465864092343754e-01 1.0782330165551030e-03
23 2 0 3.5892249999999998e-01 1.1548372309009615e-03 3.5887614092343750e-01 1.1549710493288106e-03
24 3 -7 2.8642374999999998e-01 1.4201845025273126e-03 2.8637739092343750e-01 1.4202478706213746e-03
25 3 -6 2.7792875000000000e-01 1.4160656361796053e-03 2.7788239092343753e-01 1.4160889198114633e-03
26 3 -5 2.7741125000000000e-01 1.4176705029620776e-03 2.7736489092343752e-01 1.4176676443442423e-03
27 3 -4 2.8605000000000003e-01 1.4239596465490164e-03 2.8600364092343755e-01 1.4239511281770459e-03
28 3 -3 3.0183250000000000e-01 1.3713368345796739e-03 3.0178614092343753e-01 1.3713653187050843e-03
29 3 -2 3.1582500000000002e-01 1.2907982559253787e-03 3.1577864092343755e-01 1.2908639084691046e-03
30 3 -1 3.1604500000000002e-01 1.2886967387636238e-03 3.1599864092343755e-01 1.2887962524212320e-03
31 3 0 3.0158625000000000e-01 1.3702659372248696e-03 3.0153989092343753e-01 1.3702771246764816e-03
32 4 -7 2.8658125000000001e-01 1.4191173508447952e-03 2.8653489092343754e-01 1.4191911143214911e-03
33 4 -6 2.8774250000000001e-01 1.3846391944745027e-03 2.8769614092343754e-01 1.3847124422594953e-03
34 4 -5 2.8675750000000000e-01 1.4193031648928990e-03 2.8671114092343752e-01 1.4192890813782700e-03
35 4 -4 2.8604499999999999e-01 1.4953321652729872e-03 2.8599864092343752e-01 1.4952782770304230e-03
36 4 -3 2.8675750000000000e-01 1.4193031648928990e-03 2.8671114092343752e-01 1.4192890813782700e-03
37 4 -2 2.8774250000000001e-01 1.3846391944745027e-03 2.8769614092343754e-01 1.3847124422594953e-03
38 4 -1 2.8658125000000001e-01 1.4191173508447952e-03 2.8653489092343754e-01 1.4191911143214911e-03
39 4 0 2.8560750000000001e-01 1.4931117653662100e-03 2.8556114092343754e-01 1.4931658044710196e-03
40 5 -7 3.1604500000000002e-01 1.2886967387636238e-03 3.1599864092343755e-01 1.2887962524212320e-03
41 5 -6 3.1582500000000002e-01 1.2907982559253787e-03 3.1577864092343755e-01 1.2908639084691046e-03
42 5 -5 3.0183250000000000e-01 1.3713368345796739e-03 3.0178614092343753e-01 1.3713653187050843e-03
43 5 -4 2.8605000000000003e-01 1.4239596465490164e-03 2.8600364092343755e-01 1.4239511281770459e-03
44 5 -3 2.7741125000000000e-01 1.4176705029620776e-03 2.7736489092343752e-01 1.4176676443442423e-03
45 5 -2 2.7792875000000000e-01 1.4160656361796053e-03 2.7788239092343753e-01 1.4160889198114633e-03
46 5 -1 2.8642374999999998e-01 1.4201845025273126e-03 2.8637739092343750e-01 1.4202478706213746e-03
47 5 0 3.0158625000000000e-01 1.3702659372248696e-03 3.0153989092343753e-01 1.3702771246764816e-03
48 6 -7 3.8470500000000002e-01 1.0780772859586643e-03 3.8465864092343754e-01 1.0782330165551030e-03
49 6 -6 3.5962000000000000e-01 1.1541204928429269e-03 3.5957364092343752e-01 1.1543261211761295e-03
50 6 -5 3.1533749999999999e-01 1.2923869280811377e-03 3.1529114092343752e-01 1.2925167056745477e-03
51 6 -4 2.8639124999999999e-01 1.3879006542143967e-03 2.8634489092343751e-01 1.3879136482711600e-03
52 6 -3 2.7759000000000000e-01 1.4191659832450889e-03 2.7754364092343753e-01 1.4191927151847917e-03
53 6 -2 2.8659499999999999e-01 1.3862913184103838e-03 2.8654864092343751e-01 1.3863904965005700e-03
54 6 -1 3.1477749999999999e-01 1.2941669656095383e-03 3.1473114092343751e-01 1.2942306683392422e-03
55 6 0 3.5892249999999998e-01 1.1548372309009615e-03 3.5887614092343750e-01 1.1549710493288106e-03
56 7 -7 5.0775375000000000e-01 8.0704268766822347e-04 5.0770739092343753e-01 8.0749668042312181e-04
