# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
111 6 0 2.8790781250000003e-01 2.5403806135823885e-03 2.8790459776306154e-01 2.5406808783163407e-03
112 7 -15 2.7627812499999999e-01 2.6936854181280963e-03 2.7627491026306150e-01 2.6939800196430263e-03
113 7 -14 2.7330468749999998e-01 2.6770633458995667e-03 2.7330147276306149e-01 2.6773699510510888e-03
114 7 -13 2.7127031250000000e-01 2.6511824929800636e-03 2.7126709776306152e-01 2.6514889054550751e-03
115 7 -12 2.7014062500000002e-01 2.6375299863150253e-03 2.7013741026306154e-01 2.6378607397380218e-03
116 7 -11 2.6985937500000001e-01 2.6520930662093925e-03 2.6985616026306153e-01 2.6524603861407194e-03
117 7 -10 2.7032656249999998e-01 2.6729144505412273e-03 2.7032334776306149e-01 2.6733175089320650e-03
118 7 -9 2.7114843750000001e-01 2.7010176835962417e-03 2.7114522276306152e-01 2.7014375750597400e-03
119 7 -8 2.7312656250000000e-01 2.7254291340263479e-03 2.7312334776306152e-01 2.7258244872529411e-03
120 7 -7 2.7581250000000002e-01 2.7030522750332627e-03 2.7580928526306153e-01 2.7034500881644992e-03
121 7 -6 2.7944843749999998e-01 2.6309150521205758e-03 2.7944522276306150e-01 2.6313474181209337e-03
122 7 -5 2.8265937499999999e-01 2.5632176203623323e-03 2.8265616026306151e-01 2.5636252922269340e-03
123 7 -4 2.8456562499999999e-01 2.5203031577244709e-03 2.8456241026306150e-01 2.5206831694833060e-03
124 7 -3 2.8485156249999999e-01 2.5104516377610440e-03 2.8484834776306150e-01 2.5108047741475552e-03
125 7 -2 2.8423124999999999e-01 2.5446635114919911e-03 2.8422803526306151e-01 2.5449848143504106e-03
126 7 -1 2.8155156250000002e-01 2.6135386294686000e-03 2.8154834776306153e-01 2.6138675574186431e-03
127 7 0 2.7868281249999999e-01 2.6686535107246006e-03 2.7867959776306150e-01 2.6689764872970846e-03
128 8 -15 2.7549374999999998e-01 2.6994532569983038e-03 2.7549053526306150e-01 2.6997280451555644e-03
129 8 -14 2.7550781250000000e-01 2.6448590488772237e-03 2.7550459776306152e-01 2.6451597503566555e-03
130 8 -13 2.7584999999999998e-01 2.6038337525536265e-03 2.7584678526306150e-01 2.6041802958884255e-03
131 8 -12 2.7540781250000002e-01 2.5973360883057152e-03 2.7540459776306153e-01 2.5977198570015310e-03
132 8 -11 2.7469375000000001e-01 2.6225022335250258e-03 2.7469053526306153e-01 2.6228784551372499e-03
133 8 -10 2.7418124999999999e-01 2.6640828181043377e-03 2.7417803526306150e-01 2.6644638997739222e-03
134 8 -9 2.7328593750000002e-01 2.7233532595530752e-03 2.7328272276306154e-01 2.7237495888212809e-03
135 8 -8 2.7267968749999999e-01 2.7702038708521050e-03 2.7267647276306151e-01 2.7706299855842645e-03
136 8 -7 2.7328593750000002e-01 2.7233532595530752e-03 2.7328272276306154e-01 2.7237495888212809e-03
137 8 -6 2.7418124999999999e-01 2.6640828181043377e-03 2.7417803526306150e-01 2.6644638997739222e-03
138 8 -5 2.7469375000000001e-01 2.6225022335250258e-03 2.7469053526306153e-01 2.6228784551372499e-03
139 8 -4 2.7540781250000002e-01 2.5973360883057152e-03 2.7540459776306153e-01 2.5977198570015310e-03
140 8 -3 2.7584999999999998e-01 2.6038337525536265e-03 2.7584678526306150e-01 2.6041802958884255e-03
141 8 -2 2.7550781250000000e-01 2.6448590488772237e-03 2.7550459776306152e-01 2.6451597503566555e-03
142 8 -1 2.7549374999999998e-01 2.6994532569983038e-03 2.7549053526306150e-01 2.6997280451555644e-03
143 8 0 2.7537968750000003e-01 2.7395644929594162e-03 2.7537647276306154e-01 2.7398697322790918e-03
144 9 -15 2.8155156250000002e-01 2.6135386294686000e-03 2.8154834776306153e-01 2.6138675574186431e-03
145 9 -14 2.8423124999999999e-01 2.5446635114919911e-03 2.8422803526306151e-01 2.5449848143504106e-03
146 9 -13 2.8485156249999999e-01 2.5104516377610440e-03 2.8484834776306150e-01 2.5108047741475552e-03
147 9 -12 2.8456562499999999e-01 2.5203031577244709e-03 2.8456241026306150e-01 2.5206831694833060e-03
148 9 -11 2.8265937499999999e-01 2.5632176203623323e-03 2.8265616026306151e-01 2.5636252922269340e-03
149 9 -10 2.7944843749999998e-01 2.6309150521205758e-03 2.7944522276306150e-01 2.6313474181209337e-03
150 9 -9 2.7581250000000002e-01 2.7030522750332627e-03 2.7580928526306153e-01 2.7034500881644992e-03
151 9 -8 2.7312656250000000e-01 2.7254291340263479e-03 2.7312334776306152e-01 2.7258244872529411e-03
152 9 -7 2.7114843750000001e-01 2.7010176835962417e-03 2.7114522276306152e-01 2.7014375750597400e-03
153 9 -6 2.7032656249999998e-01 2.6729144505412273e-03 2.7032334776306149e-01 2.6733175089320650e-03
154 9 -5 2.6985937500000001e-01 2.6520930662093925e-03 2.6985616026306153e-01 2.6524603861407194e-03
155 9 -4 2.7014062500000002e-01 2.6375299863150253e-03 2.7013741026306154e-01 2.6378607397380218e-03
156 9 -3 2.7127031250000000e-01 2.6511824929800636e-03 2.7126709776306152e-01 2.6514889054550751e-03
157 9 -2 2.7330468749999998e-01 2.6770633458995667e-03 2.7330147276306149e-01 2.6773699510510888e-03
158 9 -1 2.7627812499999999e-01 2.6936854181280963e-03 2.7627491026306150e-01 2.6939800196430263e-03
159 9 0 2.7868281249999999e-01 2.6686535107246006e-03 2.7867959776306150e-01 2.6689764872970846e-03
160 10 -15 2.9439531250000001e-01 2.4641537232935541e-03 2.9439209776306152e-01 2.4644976712499761e-03
161 10 -14 2.9810937500000001e-01 2.4064009642172971e-03 2.9810616026306153e-01 2.4067312130996257e-03
162 10 -13 2.9947187500000000e-01 2.3882370506214277e-03 2.9946866026306151e-01 2.3886155957854420e-03
163 10 -12 2.9725937499999999e-01 2.4138516030451081e-03 2.9725616026306151e-01 2.4142446248383402e-03
164 10 -11 2.9187656249999999e-01 2.4832631355813082e-03 2.9187334776306151e-01 2.4836529005117787e-03
165 10 -10 2.8537968749999998e-01 2.5602879434297007e-03 2.8537647276306150e-01 2.5606862248301349e-03
166 10 -9 2.7862656250000001e-01 2.6319379555946243e-03 2.7862334776306152e-01 2.6323165270537665e-03
167 10 -8 2.7315781249999999e-01 2.6641173912508500e-03 2.7315459776306150e-01 2.6644987518988556e-03
168 10 -7 2.6983281250000002e-01 2.6673251534758999e-03 2.6982959776306153e-01 2.6676873669574173e-03
169 10 -6 2.6794531249999998e-01 2.6649198938751397e-03 2.6794209776306149e-01 2.6652695743137312e-03
170 10 -5 2.6724531250000000e-01 2.6561900099383862e-03 2.6724209776306151e-01 2.6565666221778457e-03
171 10 -4 2.6877499999999999e-01 2.6515563192326314e-03 2.6877178526306150e-01 2.6519420368826029e-03
172 10 -3 2.7222968749999998e-01 2.6472431152208113e-03 2.7222647276306150e-01 2.6475932772509077e-03
173 10 -2 2.7689218750000000e-01 2.6349658052198200e-03 2.7688897276306151e-01 2.6353338964584597e-03
174 10 -1 2.8203437500000000e-01 2.6045374317522178e-03 2.8203116026306152e-01 2.6048709166177578e-03
175 10 0 2.8790781250000003e-01 2.5403806135823885e-03 2.8790459776306154e-01 2.5406808783163407e-03
176 11 -15 3.1460781249999997e-01 2.2757709351701539e-03 3.1460459776306149e-01 2.2760952845251722e-03
177 11 -14 3.1959843750000000e-01 2.2245023995350307e-03 3.1959522276306152e-01 2.2248315010951572e-03
178 11 -13 3.1956718750000002e-01 2.2284324642678163e-03 3.1956397276306153e-01 2.2288329977819968e-03
179 11 -12 3.1281093750000000e-01 2.2840549108314712e-03 3.1280772276306151e-01 2.2844765248526792e-03
180 11 -11 3.0271718749999998e-01 2.3808065264848246e-03 3.0271397276306150e-01 2.3811678863971397e-03
181 11 -10 2.9158125000000001e-01 2.4760918054277086e-03 2.9157803526306153e-01 2.4764814129200050e-03
182 11 -9 2.8142031249999999e-01 2.5594807917982089e-03 2.8141709776306151e-01 2.5598528825564967e-03
183 11 -8 2.7460156250000001e-01 2.6156551005865830e-03 2.7459834776306152e-01 2.6160059340374917e-03
184 11 -7 2.6999062499999998e-01 2.6485012696968709e-03 2.6998741026306150e-01 2.6488718955896377e-03
185 11 -6 2.6747500000000002e-01 2.6579552496938316e-03 2.6747178526306153e-01 2.6583193711734164e-03
186 11 -5 2.6830312499999998e-01 2.6501410544343554e-03 2.6829991026306149e-01 2.6505274677400461e-03
187 11 -4 2.7181250000000001e-01 2.6294678495610096e-03 2.7180928526306153e-01 2.6298608992215474e-03
188 11 -3 2.7737031249999999e-01 2.5897561830501500e-03 2.7736709776306151e-01 2.5901169465296615e-03
189 11 -2 2.8472187500000001e-01 2.5340042266930882e-03 2.8471866026306153e-01 2.5343686684164445e-03
190 11 -1 2.9477968750000000e-01 2.4558827909651926e-03 2.9477647276306151e-01 2.4562469821637722e-03
191 11 0 3.0538593749999998e-01 2.3620680093947044e-03 3.0538272276306150e-01 2.3624071262941938e-03
192 12 -15 3.4599374999999999e-01 2.0321607275646898e-03 3.4599053526306150e-01 2.0324559139732329e-03
193 12 -14 3.5111406249999999e-01 1.9973723969113422e-03 3.5111084776306151e-01 1.9976455713816830e-03
194 12 -13 3.4489062500000001e-01 2.0439941021559815e-03 3.4488741026306152e-01 2.0443614855261733e-03
195 12 -12 3.3021562500000001e-01 2.1515046150074684e-03 3.3021241026306153e-01 2.1518883673627182e-03
196 12 -11 3.1311406250000001e-01 2.2802264158561882e-03 3.1311084776306153e-01 2.2806205722594869e-03
197 12 -10 2.9725156250000001e-01 2.4030036908080500e-03 2.9724834776306153e-01 2.4034016632076094e-03
198 12 -9 2.8470781249999999e-01 2.5126609396818218e-03 2.8470459776306151e-01 2.5130482470100157e-03
199 12 -8 2.7582812499999998e-01 2.5972105632699363e-03 2.7582491026306150e-01 2.5975907822861177e-03
200 12 -7 2.7065000000000000e-01 2.6371934685617965e-03 2.7064678526306152e-01 2.6375595959972514e-03
201 12 -6 2.6902812500000001e-01 2.6537937317919862e-03 2.6902491026306152e-01 2.6541763869177702e-03
202 12 -5 2.7176250000000002e-01 2.6247149592265252e-03 2.7175928526306153e-01 2.6250588967456933e-03
203 12 -4 2.7788125000000002e-01 2.5682239645387723e-03 2.7787803526306154e-01 2.5685875752510120e-03
204 12 -3 2.8680156250000000e-01 2.4891898209255976e-03 2.8679834776306151e-01 2.4895481046238797e-03
205 12 -2 2.9930625000000000e-01 2.3890455803848220e-03 2.9930303526306151e-01 2.3893960463680585e-03
206 12 -1 3.1500624999999999e-01 2.2657503835994933e-03 3.1500303526306150e-01 2.2661770130579279e-03
207 12 0 3.3223750000000002e-01 2.1425751026072572e-03 3.3223428526306154e-01 2.1429041943548978e-03
208 13 -15 3.9318124999999998e-01 1.7457372401706820e-03 3.9317803526306150e-01 1.7460189700974561e-03
209 13 -14 3.9326406250000001e-01 1.7496272816676865e-03 3.9326084776306153e-01 1.7499393612036775e-03
210 13 -13 3.7321562500000000e-01 1.8638402159482281e-03 3.7321241026306151e-01 1.8641875420874277e-03
211 13 -12 3.4548750000000000e-01 2.0381687131160167e-03 3.4548428526306152e-01 2.0385707081640491e-03
212 13 -11 3.1956875000000001e-01 2.2237242559288348e-03 3.1956553526306153e-01 2.2241559832504539e-03
213 13 -10 2.9999687500000000e-01 2.3808556511968420e-03 2.9999366026306151e-01 2.3811981141759740e-03
214 13 -9 2.8521718750000002e-01 2.5072143698216618e-03 2.8521397276306154e-01 2.5076154154828156e-03
215 13 -8 2.7624062500000002e-01 2.5952584828439411e-03 2.7623741026306153e-01 2.5956087824891370e-03
216 13 -7 2.7191874999999999e-01 2.6443684272253461e-03 2.7191553526306150e-01 2.6447359275078713e-03
217 13 -6 2.7284218750000000e-01 2.6350864085671337e-03 2.7283897276306152e-01 2.6354838706509742e-03
218 13 -5 2.7791093750000001e-01 2.5843666504834135e-03 2.7790772276306153e-01 2.5847407389118842e-03
219 13 -4 2.8727031250000001e-01 2.4957945287691417e-03 2.8726709776306153e-01 2.4962092601000948e-03
