lx,ly,theta_deg,lr,err_x,err_y,err_y_minus_x,err_total
1.0,0.21000000000000002,52.0,0.8862968917711623,0.0,0.24999599329000532,0.23309201487931447,0.16102933605643993
1.0,0.21000000000000002,53.0,0.8895716330212761,0.0,0.24999599329000532,0.23295947788443427,0.16098515705814653
1.0,0.21000000000000002,54.0,0.8928774798577693,0.0,0.24999599329000532,0.23282473539909626,0.16094024289636719
1.0,0.21000000000000002,55.0,0.896213086677806,0.0,0.24999599329000532,0.23268782549685818,0.16089460626228783
1.0,0.21000000000000002,56.0,0.8995771120600425,0.0,0.24999599329000532,0.2325487878319042,0.16084826037396985
1.0,0.21000000000000002,57.0,0.9029682194261816,0.0,0.24999599329000532,0.23240766360603796,0.16080121896534774
1.0,0.21000000000000002,58.0,0.9063850776695598,0.0,0.24999599329000532,0.2322644955329306,0.16075349627431199
1.0,0.21000000000000002,59.0,0.9098263617513933,0.0,0.24999599329000532,0.23211932779981764,0.16070510702994098
1.0,0.21000000000000002,60.0,0.9132907532653552,0.0,0.24999599329000532,0.231972206026843,0.16065606643894945
1.0,0.21000000000000002,61.0,0.9167769409712149,0.0,0.24999599329000532,0.23182317722424417,0.1606063901714165
1.0,0.21000000000000002,62.0,0.920283621298307,0.0,0.24999599329000532,0.23167228974757256,0.1605560943458593
1.0,0.21000000000000002,63.0,0.9238094988196378,0.0,0.24999599329000532,0.2315195932511414,0.1605051955137156
1.0,0.21000000000000002,64.0,0.9273532866974632,0.0,0.24999599329000532,0.23136513863988867,0.160453710643298
1.0,0.21000000000000002,65.0,0.930913707101204,0.0,0.24999599329000532,0.2312089780198405,0.16040165710328194
1.0,0.21000000000000002,66.0,0.9344894915985754,0.0,0.24999599329000532,0.23105116464735562,0.160349052645787
1.0,0.21000000000000002,67.0,0.9380793815208311,0.0,0.24999599329000532,0.23089175287732522,0.16029591538911017
1.0,0.21000000000000002,68.0,0.9416821283030261,0.0,0.24999599329000532,0.23073079811049932,0.16024226380016823
1.0,0.21000000000000002,69.0,0.9452964938002117,0.0,0.24999599329000532,0.23056835674010268,0.16018811667670266
1.0,0.21000000000000002,70.0,0.9489212505804784,0.0,0.24999599329000532,0.23040448609789932,0.16013349312930156
