r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
4.7027828198	8.0893011577	0.0947471437	0.7462510060	0.0633127590	0.6894169843	1.0076678247	1.4445078447	0.8401715948	0.8856868997	0.8173426493	0.9486101636	0.9228347507	-0.0114503451	-0.0011480680	-0.0081727663	-0.0103022771	-0.0070246983	0.0001311104	0.0000013181	0.0000667941	0.0001061369	0.0000493464	0.0001992226	0.0001554833	0.0003547059
4.7027828198	8.8246921720	0.0863801714	0.7116276160	0.0605439150	0.6617482402	1.0298410930	1.4500033204	0.8309067450	0.8847017887	0.8106069641	0.9391941507	0.9162488134	-0.0225389272	-0.0022609436	-0.0164478672	-0.0202779837	-0.0141869236	0.0005080032	0.0000051119	0.0002705323	0.0004111966	0.0002012688	0.0007836474	0.0006124654	0.0013961129
4.7027828198	9.5600831863	0.0792268001	0.6807740994	0.0580582044	0.6366504984	1.0500021801	1.4549399751	0.8219703222	0.8837516799	0.8038460712	0.9300919488	0.9095836414	-0.0333522056	-0.0033354517	-0.0248233756	-0.0300167539	-0.0214879238	0.0011123696	0.0000111252	0.0006162000	0.0009010055	0.0004617309	0.0017396948	0.0013627364	0.0031024312
4.7027828198	10.2954742007	0.0730476457	0.6530613244	0.0558111263	0.6137565820	1.0684309233	1.4594051482	0.8133013310	0.8828371888	0.7970632019	0.9212359213	0.9028428027	-0.0439548139	-0.0043707704	-0.0332971973	-0.0395840436	-0.0289264269	0.0019320257	0.0000191036	0.0011087033	0.0015668965	0.0008367382	0.0030598327	0.0024036347	0.0054634673
5.1730611017	4.4123460860	0.1731954744	1.0688792554	0.0806669271	0.9124086077	0.8190262108	1.4101578351	0.9038044488	0.8911757280	0.8542754381	1.0141708536	0.9585936995	0.0615565237	0.0050300638	0.0360224962	0.0565264598	0.0309924324	0.0037892056	0.0000253015	0.0012976202	0.0031952407	0.0009605309	0.0051121274	0.0041557715	0.0092678989
5.1730611017	5.1477371003	0.1501529030	0.9911862389	0.0754572891	0.8620195032	0.8591217902	1.4204513602	0.8907896377	0.8903976745	0.8483221426	1.0004402114	0.9527452361	0.0470518071	0.0041566184	0.0290292762	0.0428951887	0.0248726578	0.0022138726	0.0000172775	0.0008426989	0.0018399972	0.0006186491	0.0030738489	0.0024586463	0.0055324952
5.1730611017	5.8831281147	0.1320944768	0.9266461701	0.0710363594	0.8181192501	0.8942742451	1.4291991584	0.8791202327	0.8894902191	0.8422562787	0.9883416522	0.9468977405	0.0338651763	0.0031369412	0.0218531643	0.0307282350	0.0187162230	0.0011468502	0.0000098404	0.0004775608	0.0009442244	0.0003502970	0.0016342514	0.0012945214	0.0029287728
5.1730611017	6.6185191290	0.1175838096	0.8719434078	0.0672235793	0.7794286585	0.9254116024	1.4367523927	0.8684300637	0.8885315052	0.8361259668	0.9773767825	0.9410200560	0.0216305614	0.0020585359	0.0145481070	0.0195720255	0.0124895711	0.0004678812	0.0000042376	0.0002116474	0.0003830642	0.0001559894	0.0006837662	0.0005390536	0.0012228197
5.1730611017	7.3539101433	0.1056861226	0.8248253718	0.0638917371	0.7449996333	0.9532338260	1.4433591943	0.8584742781	0.8875619953	0.8299532561	0.9672273966	0.9350932786	0.0101002228	0.0009668029	0.0071382086	0.0091334198	0.0061714057	0.0001020145	0.0000009347	0.0000509540	0.0000834194	0.0000380862	0.0001539032	0.0001215056	0.0002754088
5.1730611017	8.0893011577	0.0957670391	0.7837009942	0.0609481727	0.7141111782	0.9782807399	1.4492007355	0.8490829010	0.8866029103	0.8237486941	0.9576811571	0.9291066886	-0.0008996686	-0.0001143650	-0.0003656721	-0.0007853036	-0.0002513072	0.0000008094	0.0000000131	0.0000001337	0.0000006167	0.0000000632	0.0000009562	0.0000006799	0.0000016361
