tau_real	tau_imag	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.4200000000	1.0326920705	0.9097822277	0.8937654258	0.8555434347	1.0179205880	0.9572348739	0.0177090795	-0.0000528277	0.0084798639	0.0177619072	0.0085326915	0.0003136115	0.0000000028	0.0000719081	0.0003154853	0.0000728068	0.0003855224	0.0003882922	0.0007738146
0.4200000000	1.0393587371	0.9106650817	0.8937964704	0.8559309412	1.0188729893	0.9576351771	0.0186790104	-0.0000180937	0.0089326974	0.0186971040	0.0089507911	0.0003489054	0.0000000003	0.0000797931	0.0003495817	0.0000801167	0.0004286988	0.0004296984	0.0008583972
0.4200000000	1.0460254038	0.9115458759	0.8938253739	0.8563135331	1.0198254632	0.9580322490	0.0196457418	0.0000142437	0.0093795868	0.0196314981	0.0093653431	0.0003859552	0.0000000002	0.0000879766	0.0003853957	0.0000877097	0.0004739320	0.0004731054	0.0009470374
0.4200000000	1.0526920705	0.9124246275	0.8938521205	0.8566911941	1.0207780533	0.9584260914	0.0206093008	0.0000441670	0.0098205208	0.0205651338	0.0097763538	0.0004247433	0.0000000020	0.0000964426	0.0004229247	0.0000955771	0.0005211879	0.0005185018	0.0010396897
0.4200000000	1.0593587371	0.9133013540	0.8938766952	0.8570639099	1.0217308035	0.9588167076	0.0215697150	0.0000716596	0.0102554905	0.0214980554	0.0101838308	0.0004652526	0.0000000051	0.0001051751	0.0004621664	0.0001037104	0.0005704328	0.0005658768	0.0011363096
0.4200000000	1.0660254038	0.9141760740	0.8938990835	0.8574316677	1.0226837579	0.9592041020	0.0225270128	0.0000967057	0.0106844888	0.0224303071	0.0105877831	0.0005074663	0.0000000094	0.0001141583	0.0005031187	0.0001121012	0.0006216340	0.0006152198	0.0012368538
0.4226666667	0.6660254038	0.8587813483	0.8896813525	0.8288032524	0.9652684591	0.9315731414	-0.0399818338	-0.0046328134	-0.0232742036	-0.0353490204	-0.0186413902	0.0015985470	0.0000214630	0.0005416886	0.0012495532	0.0003475014	0.0021616985	0.0015970547	0.0037587532
0.4226666667	0.6726920705	0.8597251190	0.8897750999	0.8293167762	0.9662274422	0.9320521290	-0.0388834721	-0.0045274471	-0.0226547987	-0.0343560250	-0.0181273516	0.0015119244	0.0000204978	0.0005132399	0.0011803365	0.0003286009	0.0020456621	0.0015089373	0.0035545994
0.4226666667	0.6793587371	0.8606711595	0.8898694195	0.8298340260	0.9671881521	0.9325346032	-0.0377836783	-0.0044214489	-0.0220312872	-0.0333622294	-0.0176098383	0.0014276063	0.0000195492	0.0004853776	0.0011130384	0.0003101064	0.0019325332	0.0014231448	0.0033556779
0.4226666667	0.6860254038	0.8616191814	0.8899642115	0.8303545663	0.9681503709	0.9330201772	-0.0366827931	-0.0043149311	-0.0214042015	-0.0323678620	-0.0170892704	0.0013456273	0.0000186186	0.0004581398	0.0010476785	0.0002920432	0.0018223858	0.0013397217	0.0031621074
0.4226666667	0.6926920705	0.8625689108	0.8900593785	0.8308779802	0.9691138946	0.9335084829	-0.0355811389	-0.0042080032	-0.0207740502	-0.0313731357	-0.0165660470	0.0012660174	0.0000177073	0.0004315612	0.0009842736	0.0002744339	0.0017152859	0.0012587076	0.0029739935
0.4226666667	0.6993587371	0.8635200880	0.8901548259	0.8314038686	0.9700785333	0.9339991700	-0.0344790204	-0.0041007719	-0.0201413194	-0.0303782486	-0.0160405476	0.0011888029	0.0000168163	0.0004056727	0.0009228380	0.0002572992	0.0016112919	0.0011801372	0.0027914291
