r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
5.1417092163	9.5110571187	0.0805901469	0.7148707726	0.0562482175	0.6608901414	1.0221660863	1.4585364259	0.8315002506	0.8847513065	0.8112228553	0.9398124020	0.9168936506	-0.0218248956	-0.0022049739	-0.0156883655	-0.0196199217	-0.0134833916	0.0004763261	0.0000048619	0.0002461248	0.0003849413	0.0001818018	0.0007273128	0.0005667432	0.0012940560
5.1417092163	9.6091092540	0.0797030662	0.7108057800	0.0559484638	0.6576621696	1.0247983042	1.4591321798	0.8303719406	0.8846314937	0.8103834423	0.9386642308	0.9160689485	-0.0231827740	-0.0023404029	-0.0167236515	-0.0208423711	-0.0143832486	0.0005374410	0.0000054775	0.0002796805	0.0004344044	0.0002068778	0.0008225990	0.0006412823	0.0014638813
5.1417092163	9.7071613892	0.0788329578	0.7067983842	0.0556526580	0.6544725403	1.0273999872	1.4597201261	0.8292486312	0.8845122156	0.8095436744	0.9375208353	0.9152430685	-0.0245364685	-0.0024752456	-0.0177604487	-0.0220612229	-0.0152852031	0.0006020383	0.0000061268	0.0003154335	0.0004866976	0.0002336374	0.0009235987	0.0007203350	0.0016439337
5.1417092163	9.8052135244	0.0779793549	0.7028472585	0.0553607158	0.6513205175	1.0299717050	1.4603004311	0.8281301929	0.8843934749	0.8087035579	0.9363820702	0.9144160161	-0.0258861158	-0.0026094989	-0.0187987530	-0.0232766169	-0.0161892541	0.0006700910	0.0000068095	0.0003533931	0.0005418009	0.0002620919	0.0010302936	0.0008038928	0.0018341864
5.1417092163	9.9032656597	0.0771418075	0.6989511188	0.0550725550	0.6482053850	1.0325140126	1.4608732560	0.8270165009	0.8842752735	0.8078630992	0.9352477963	0.9135877971	-0.0272318480	-0.0027431603	-0.0198385602	-0.0244886878	-0.0170953999	0.0007415735	0.0000075249	0.0003935685	0.0005996958	0.0002922527	0.0011426669	0.0008919485	0.0020346155
5.1417092163	10.0013177949	0.0763198815	0.6951087214	0.0547880963	0.6451264454	1.0350274506	1.4614387575	0.8259074349	0.8841576133	0.8070223044	0.9341178795	0.9127584180	-0.0285737927	-0.0028762275	-0.0208798660	-0.0256975652	-0.0180036386	0.0008164616	0.0000082727	0.0004359688	0.0006603649	0.0003241310	0.0012607031	0.0009844959	0.0022451990
5.1417092163	10.0993699302	0.0755131582	0.6913188614	0.0545072621	0.6420830197	1.0375125463	1.4619970876	0.8248028787	0.8840404955	0.8061811800	0.9329921908	0.9119278858	-0.0299120727	-0.0030086988	-0.0219226663	-0.0269033739	-0.0189139675	0.0008947321	0.0000090523	0.0004806033	0.0007237915	0.0003577382	0.0013843877	0.0010815297	0.0024659173
5.1417092163	10.1974220654	0.0747212336	0.6875803716	0.0542299777	0.6390744463	1.0399698132	1.4625483941	0.8237027204	0.8839239212	0.8053397323	0.9318706063	0.9110962075	-0.0312468070	-0.0031405729	-0.0229669565	-0.0281062341	-0.0198263836	0.0009763629	0.0000098632	0.0005274811	0.0007899604	0.0003930855	0.0015137072	0.0011830459	0.0026967531
5.1417092163	10.2954742007	0.0739437177	0.6838921206	0.0539561701	0.6361000811	1.0423997523	1.4630928202	0.8226068519	0.8838078909	0.8044979676	0.9307530067	0.9102633908	-0.0325781103	-0.0032718488	-0.0240127325	-0.0293062616	-0.0207408837	0.0010613333	0.0000107050	0.0005766113	0.0008588570	0.0004301843	0.0016486496	0.0012890412	0.0029376908
5.2044129872	4.4123460860	0.1732566819	1.0722464489	0.0804439490	0.9139659661	0.8170286218	1.4105980657	0.9043204274	0.8911951668	0.8545084773	1.0147277061	0.9588342813	0.0621272570	0.0050518761	0.0362952506	0.0570753809	0.0312433745	0.0038597961	0.0000255215	0.0013173452	0.0032575991	0.0009761484	0.0052026627	0.0042337476	0.0094364103
