# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
97 8 -12 5.1844422110552457e-01 2.6439763145406168e-03 5.1839704698769928e-01 2.6459665570973206e-03
98 8 -11 5.1528643216080039e-01 2.7262164893977528e-03 5.1523925804297510e-01 2.7281353364966717e-03
99 8 -10 5.1360201005025041e-01 2.7836589113658990e-03 5.1355483593242512e-01 2.7854421390045999e-03
100 8 -9 5.1360201005025041e-01 2.7836589113658990e-03 5.1355483593242512e-01 2.7854421390045999e-03
101 8 -8 5.1528643216080039e-01 2.7262164893977528e-03 5.1523925804297510e-01 2.7281353364966717e-03
102 8 -7 5.1844422110552457e-01 2.6439763145406168e-03 5.1839704698769928e-01 2.6459665570973206e-03
103 8 -6 5.2212462311557539e-01 2.5584612518217702e-03 5.2207744899775010e-01 2.5606188841872076e-03
104 8 -5 5.2705929648240879e-01 2.4683103672740051e-03 5.2701212236458350e-01 2.4706261750864870e-03
105 8 -4 5.3270552763819001e-01 2.3914888737898575e-03 5.3265835352036472e-01 2.3938115979612665e-03
106 8 -3 5.3790954773869148e-01 2.3244567264756439e-03 5.3786237362086620e-01 2.3267110982499138e-03
107 8 -2 5.4182311557788887e-01 2.2786451970732671e-03 5.4177594146006358e-01 2.2809725686085578e-03
108 9 -17 5.3651658291457238e-01 2.3754006533285208e-03 5.3646940879674709e-01 2.3777343051055670e-03
109 9 -16 5.3392361809045086e-01 2.3919126612478611e-03 5.3387644397262557e-01 2.3942787997295804e-03
110 9 -15 5.3093467336683131e-01 2.4237981068351202e-03 5.3088749924900602e-01 2.4261287892703987e-03
111 9 -14 5.2614673366834042e-01 2.4920594127276854e-03 5.2609955955051513e-01 2.4943764863206018e-03
112 9 -13 5.2158190954773864e-01 2.5734328698922629e-03 5.2153473542991335e-01 2.5754328256202847e-03
113 9 -12 5.1779095477386716e-01 2.6615888810891165e-03 5.1774378065604187e-01 2.6635011223211089e-03
114 9 -11 5.1490251256281183e-01 2.7314412376377370e-03 5.1485533844498654e-01 2.7333062016596712e-03
115 9 -10 5.1349145728642887e-01 2.7719800248472625e-03 5.1344428316860358e-01 2.7737359950790645e-03
116 9 -9 5.1381105527637805e-01 2.7551754731199884e-03 5.1376388115855276e-01 2.7570680659674950e-03
117 9 -8 5.1621909547738565e-01 2.6929637449424480e-03 5.1617192135956036e-01 2.6949117212442214e-03
118 9 -7 5.1962211055276164e-01 2.6101596412085640e-03 5.1957493643493635e-01 2.6121128537393572e-03
119 9 -6 5.2422914572864043e-01 2.5067561915704537e-03 5.2418197161081515e-01 2.5089589983692063e-03
