left_length_over_a,diag_length_over_a,err_left,err_diag,objective
0.744000,0.744000,0.0219006093,0.0219006093,0.0219006093
0.744000,0.754000,0.0219006093,0.0218708525,0.0218857309
0.744000,0.764000,0.0219006093,0.0218607097,0.0218806595
0.744000,0.774000,0.0219006093,0.0218691198,0.0218848645
0.744000,0.784000,0.0219006093,0.0218950751,0.0218978422
0.744000,0.794000,0.0219006093,0.0219376191,0.0219191142
0.744000,0.804000,0.0219006093,0.0219958434,0.0219482264
0.744000,0.814000,0.0219006093,0.0220688853,0.0219847473
0.754000,0.714000,0.0218708525,0.0221190438,0.0219949481
0.754000,0.724000,0.0218708525,0.0220234960,0.0219471742
0.754000,0.734000,0.0218708525,0.0219510980,0.0219109752
0.754000,0.744000,0.0218708525,0.0219006093,0.0218857309
0.754000,0.754000,0.0218708525,0.0218708525,0.0218708525
0.754000,0.764000,0.0218708525,0.0218607097,0.0218657811
0.754000,0.774000,0.0218708525,0.0218691198,0.0218699861
0.754000,0.784000,0.0218708525,0.0218950751,0.0218829638
0.754000,0.794000,0.0218708525,0.0219376191,0.0219042358
0.754000,0.804000,0.0218708525,0.0219958434,0.0219333480
0.754000,0.814000,0.0218708525,0.0220688853,0.0219698689
0.764000,0.714000,0.0218607097,0.0221190438,0.0219898767
0.764000,0.724000,0.0218607097,0.0220234960,0.0219421028
0.764000,0.734000,0.0218607097,0.0219510980,0.0219059038
0.764000,0.744000,0.0218607097,0.0219006093,0.0218806595
0.764000,0.754000,0.0218607097,0.0218708525,0.0218657811
0.764000,0.764000,0.0218607097,0.0218607097,0.0218607097
0.764000,0.774000,0.0218607097,0.0218691198,0.0218649147
0.764000,0.784000,0.0218607097,0.0218950751,0.0218778924
0.764000,0.794000,0.0218607097,0.0219376191,0.0218991644
0.764000,0.804000,0.0218607097,0.0219958434,0.0219282766
0.764000,0.814000,0.0218607097,0.0220688853,0.0219647975
0.774000,0.714000,0.0218691198,0.0221190438,0.0219940818
0.774000,0.724000,0.0218691198,0.0220234960,0.0219463079
0.774000,0.734000,0.0218691198,0.0219510980,0.0219101089
0.774000,0.744000,0.0218691198,0.0219006093,0.0218848645
0.774000,0.754000,0.0218691198,0.0218708525,0.0218699861
0.774000,0.764000,0.0218691198,0.0218607097,0.0218649147
0.774000,0.774000,0.0218691198,0.0218691198,0.0218691198
0.774000,0.784000,0.0218691198,0.0218950751,0.0218820974
0.774000,0.794000,0.0218691198,0.0219376191,0.0219033694
0.774000,0.804000,0.0218691198,0.0219958434,0.0219324816
0.774000,0.814000,0.0218691198,0.0220688853,0.0219690025
0.784000,0.714000,0.0218950751,0.0221190438,0.0220070594
0.784000,0.724000,0.0218950751,0.0220234960,0.0219592855
0.784000,0.734000,0.0218950751,0.0219510980,0.0219230865
0.784000,0.744000,0.0218950751,0.0219006093,0.0218978422
0.784000,0.754000,0.0218950751,0.0218708525,0.0218829638
0.784000,0.764000,0.0218950751,0.0218607097,0.0218778924
0.784000,0.774000,0.0218950751,0.0218691198,0.0218820974
0.784000,0.784000,0.0218950751,0.0218950751,0.0218950751
0.784000,0.794000,0.0218950751,0.0219376191,0.0219163471
0.784000,0.804000,0.0218950751,0.0219958434,0.0219454593
0.784000,0.814000,0.0218950751,0.0220688853,0.0219819802
0.794000,0.714000,0.0219376191,0.0221190438,0.0220283314
0.794000,0.724000,0.0219376191,0.0220234960,0.0219805576
0.794000,0.734000,0.0219376191,0.0219510980,0.0219443586
0.794000,0.744000,0.0219376191,0.0219006093,0.0219191142
0.794000,0.754000,0.0219376191,0.0218708525,0.0219042358
0.794000,0.764000,0.0219376191,0.0218607097,0.0218991644
0.794000,0.774000,0.0219376191,0.0218691198,0.0219033694
0.794000,0.784000,0.0219376191,0.0218950751,0.0219163471
0.794000,0.794000,0.0219376191,0.0219376191,0.0219376191
0.794000,0.804000,0.0219376191,0.0219958434,0.0219667313
0.794000,0.814000,0.0219376191,0.0220688853,0.0220032522
0.804000,0.714000,0.0219958434,0.0221190438,0.0220574436
0.804000,0.724000,0.0219958434,0.0220234960,0.0220096697
0.804000,0.734000,0.0219958434,0.0219510980,0.0219734707
0.804000,0.744000,0.0219958434,0.0219006093,0.0219482264
0.804000,0.754000,0.0219958434,0.0218708525,0.0219333480
0.804000,0.764000,0.0219958434,0.0218607097,0.0219282766
0.804000,0.774000,0.0219958434,0.0218691198,0.0219324816
0.804000,0.784000,0.0219958434,0.0218950751,0.0219454593
0.804000,0.794000,0.0219958434,0.0219376191,0.0219667313
0.804000,0.804000,0.0219958434,0.0219958434,0.0219958434
0.804000,0.814000,0.0219958434,0.0220688853,0.0220323644
0.814000,0.714000,0.0220688853,0.0221190438,0.0220939645
0.814000,0.724000,0.0220688853,0.0220234960,0.0220461906
0.814000,0.734000,0.0220688853,0.0219510980,0.0220099917
0.814000,0.744000,0.0220688853,0.0219006093,0.0219847473
0.814000,0.754000,0.0220688853,0.0218708525,0.0219698689
0.814000,0.764000,0.0220688853,0.0218607097,0.0219647975
0.814000,0.774000,0.0220688853,0.0218691198,0.0219690025
0.814000,0.784000,0.0220688853,0.0218950751,0.0219819802
0.814000,0.794000,0.0220688853,0.0219376191,0.0220032522
0.814000,0.804000,0.0220688853,0.0219958434,0.0220323644
0.814000,0.814000,0.0220688853,0.0220688853,0.0220688853
