# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
60 3 -3 3.5466156250000003e-01 8.2230258971069880e-04 3.5466018407724614e-01 8.2230345355375307e-04
61 3 -2 3.7560281249999999e-01 7.7152526104823469e-04 3.7560143407724611e-01 7.7152523372364982e-04
62 3 -1 3.7572968750000002e-01 7.7135837692624844e-04 3.7572830907724614e-01 7.7136450600448459e-04
63 3 0 3.5470906250000001e-01 8.2149363209715279e-04 3.5470768407724612e-01 8.2150056407201118e-04
64 4 -15 2.9339062500000002e-01 9.9951235913053470e-04 2.9338924657724613e-01 9.9952397979395451e-04
65 4 -14 2.7674968750000001e-01 1.0551077044391236e-03 2.7674830907724612e-01 1.0551241499218481e-03
66 4 -13 2.6402031250000002e-01 1.0993819124418488e-03 2.6401893407724614e-01 1.0993922813995745e-03
67 4 -12 2.5472031249999999e-01 1.1316407206592989e-03 2.5471893407724611e-01 1.1316488905805560e-03
68 4 -11 2.4907124999999999e-01 1.1510933722308327e-03 2.4906987157724608e-01 1.1511002509555510e-03
69 4 -10 2.4720031249999999e-01 1.1577359424073336e-03 2.4719893407724608e-01 1.1577432390079527e-03
70 4 -9 2.4910874999999999e-01 1.1511735402269937e-03 2.4910737157724608e-01 1.1511812554750906e-03
71 4 -8 2.5452718749999997e-01 1.1315453489025738e-03 2.5452580907724609e-01 1.1315579640375345e-03
72 4 -7 2.6365875000000000e-01 1.0983840320699541e-03 2.6365737157724611e-01 1.0983961650097118e-03
73 4 -6 2.7652843750000000e-01 1.0545824189495206e-03 2.7652705907724612e-01 1.0546005117729345e-03
74 4 -5 2.9326281250000003e-01 9.9924917078301665e-04 2.9326143407724614e-01 9.9926393302009480e-04
75 4 -4 3.1089875000000000e-01 9.4463539244316367e-04 3.1089737157724612e-01 9.4464706064927408e-04
76 4 -3 3.2550499999999999e-01 8.9932256247411040e-04 3.2550362157724611e-01 8.9932798978939173e-04
77 4 -2 3.3132125000000001e-01 8.8278765232288451e-04 3.3131987157724613e-01 8.8278885203409878e-04
78 4 -1 3.2542312499999998e-01 8.9893214283931792e-04 3.2542174657724610e-01 8.9893425653474050e-04
79 4 0 3.1102531249999998e-01 9.4280020608387483e-04 3.1102393407724610e-01 9.4280289432080769e-04
80 5 -15 2.7197562500000000e-01 1.0832680015200242e-03 2.7197424657724611e-01 1.0832812686542449e-03
81 5 -14 2.6207031250000001e-01 1.1173813724918618e-03 2.6206893407724613e-01 1.1173932518853300e-03
82 5 -13 2.5465593749999998e-01 1.1387157563791642e-03 2.5465455907724610e-01 1.1387269119397204e-03
83 5 -12 2.4916968749999999e-01 1.1513567831440421e-03 2.4916830907724608e-01 1.1513664367086647e-03
84 5 -11 2.4650000000000000e-01 1.1581696564515063e-03 2.4649862157724609e-01 1.1581735972983642e-03
85 5 -10 2.4655593749999999e-01 1.1578163272195517e-03 2.4655455907724608e-01 1.1578260599777095e-03
86 5 -9 2.4910656249999999e-01 1.1513529542379356e-03 2.4910518407724608e-01 1.1513628286729095e-03
87 5 -8 2.5421062500000002e-01 1.1389982846473857e-03 2.5420924657724614e-01 1.1390116965436282e-03
88 5 -7 2.6194531250000003e-01 1.1158763716936999e-03 2.6194393407724614e-01 1.1158914497321178e-03
89 5 -6 2.7192937499999997e-01 1.0826327950843664e-03 2.7192799657724609e-01 1.0826470985358042e-03
90 5 -5 2.8289406249999999e-01 1.0405336595414260e-03 2.8289268407724610e-01 1.0405493447419960e-03
91 5 -4 2.9277031250000002e-01 1.0021473251370261e-03 2.9276893407724613e-01 1.0021531492562603e-03
92 5 -3 2.9876187500000001e-01 9.7863120143887078e-04 2.9876049657724613e-01 9.7863718502844447e-04
93 5 -2 2.9872687500000000e-01 9.7901235959623476e-04 2.9872549657724612e-01 9.7901681596933646e-04
94 5 -1 2.9291656249999998e-01 1.0020616415270679e-03 2.9291518407724609e-01 1.0020629269153788e-03
95 5 0 2.8315625000000000e-01 1.0409132389847628e-03 2.8315487157724611e-01 1.0409188039209036e-03
96 6 -15 2.5929625000000001e-01 1.1473168907689586e-03 2.5929487157724612e-01 1.1473264661051054e-03
97 6 -14 2.5381124999999999e-01 1.1594251653432618e-03 2.5380987157724610e-01 1.1594341170035642e-03
98 6 -13 2.4974812499999999e-01 1.1611653547965025e-03 2.4974674657724608e-01 1.1611749674843817e-03
99 6 -12 2.4725531249999999e-01 1.1590802429477423e-03 2.4725393407724608e-01 1.1590895208056671e-03
100 6 -11 2.4631843749999999e-01 1.1585257654860000e-03 2.4631705907724608e-01 1.1585320857549980e-03
101 6 -10 2.4717406250000001e-01 1.1598358872923235e-03 2.4717268407724610e-01 1.1598499993004277e-03
102 6 -9 2.4958718750000000e-01 1.1621976294925260e-03 2.4958580907724609e-01 1.1622124949062411e-03
103 6 -8 2.5335031250000001e-01 1.1597435483617906e-03 2.5334893407724612e-01 1.1597615531021310e-03
104 6 -7 2.5887687500000001e-01 1.1467682163877699e-03 2.5887549657724612e-01 1.1467808538801487e-03
105 6 -6 2.6547999999999999e-01 1.1182469056518780e-03 2.6547862157724611e-01 1.1182602744632235e-03
106 6 -5 2.7163906249999997e-01 1.0834548329077555e-03 2.7163768407724609e-01 1.0834617636344798e-03
107 6 -4 2.7610781249999999e-01 1.0568502205246717e-03 2.7610643407724611e-01 1.0568580181126441e-03
108 6 -3 2.7808218750000002e-01 1.0467749870426053e-03 2.7808080907724614e-01 1.0467792571038134e-03
109 6 -2 2.7658031249999998e-01 1.0569597807056318e-03 2.7657893407724610e-01 1.0569686393797945e-03
110 6 -1 2.7189437500000002e-01 1.0830689326191050e-03 2.7189299657724614e-01 1.0830723928366430e-03
111 6 0 2.6564437499999999e-01 1.1186971846436763e-03 2.6564299657724610e-01 1.1187057694483091e-03
112 7 -15 2.5322406250000001e-01 1.1869576142184571e-03 2.5322268407724613e-01 1.1869713146294308e-03
113 7 -14 2.5094656250000003e-01 1.1749747962381668e-03 2.5094518407724614e-01 1.1749852872226334e-03
114 7 -13 2.4948593750000000e-01 1.1614626117050311e-03 2.4948455907724609e-01 1.1614699332426087e-03
115 7 -12 2.4872312499999999e-01 1.1533517769926863e-03 2.4872174657724608e-01 1.1533620754553709e-03
116 7 -11 2.4861437500000000e-01 1.1532125979973025e-03 2.4861299657724609e-01 1.1532243446578253e-03
117 7 -10 2.4938593749999999e-01 1.1629800661774783e-03 2.4938455907724608e-01 1.1630011656511164e-03
118 7 -9 2.5105343749999998e-01 1.1763741020801681e-03 2.5105205907724609e-01 1.1763941139182085e-03
119 7 -8 2.5313656250000000e-01 1.1873249942022704e-03 2.5313518407724611e-01 1.1873401372759489e-03
120 7 -7 2.5592843749999999e-01 1.1777518069058192e-03 2.5592705907724611e-01 1.1777647495910318e-03
121 7 -6 2.5883031249999999e-01 1.1473193042225852e-03 2.5882893407724611e-01 1.1473324651232678e-03
122 7 -5 2.6166687500000002e-01 1.1184212789093328e-03 2.6166549657724614e-01 1.1184373371834345e-03
123 7 -4 2.6328937499999999e-01 1.1007342536312693e-03 2.6328799657724611e-01 1.1007404262089794e-03
124 7 -3 2.6361781249999999e-01 1.1004812468861280e-03 2.6361643407724611e-01 1.1004851726428419e-03
125 7 -2 2.6200218749999998e-01 1.1178899036233610e-03 2.6200080907724610e-01 1.1178972154097025e-03
126 7 -1 2.5916875000000000e-01 1.1460508486346712e-03 2.5916737157724612e-01 1.1460615085949499e-03
127 7 0 2.5610812500000002e-01 1.1768393630790005e-03 2.5610674657724614e-01 1.1768492275984381e-03
128 8 -15 2.5292187500000002e-01 1.1857583259742212e-03 2.5292049657724613e-01 1.1857730535125692e-03
129 8 -14 2.5372375000000003e-01 1.1595333525146010e-03 2.5372237157724614e-01 1.1595461368227936e-03
130 8 -13 2.5409500000000002e-01 1.1399241726974649e-03 2.5409362157724613e-01 1.1399280119354859e-03
131 8 -12 2.5395000000000001e-01 1.1336181448960228e-03 2.5394862157724613e-01 1.1336218673772490e-03
132 8 -11 2.5374062500000000e-01 1.1396591108165579e-03 2.5373924657724611e-01 1.1396739635326240e-03
133 8 -10 2.5329906250000001e-01 1.1597232460057753e-03 2.5329768407724612e-01 1.1597432874077946e-03
134 8 -9 2.5314249999999999e-01 1.1868580311319883e-03 2.5314112157724611e-01 1.1868744594846477e-03
135 8 -8 2.5294875000000000e-01 1.2102286731104786e-03 2.5294737157724612e-01 1.2102440337381447e-03
136 8 -7 2.5314249999999999e-01 1.1868580311319883e-03 2.5314112157724611e-01 1.1868744594846477e-03
137 8 -6 2.5329906250000001e-01 1.1597232460057753e-03 2.5329768407724612e-01 1.1597432874077946e-03
138 8 -5 2.5374062500000000e-01 1.1396591108165579e-03 2.5373924657724611e-01 1.1396739635326240e-03
139 8 -4 2.5395000000000001e-01 1.1336181448960228e-03 2.5394862157724613e-01 1.1336218673772490e-03
140 8 -3 2.5409500000000002e-01 1.1399241726974649e-03 2.5409362157724613e-01 1.1399280119354859e-03
141 8 -2 2.5372375000000003e-01 1.1595333525146010e-03 2.5372237157724614e-01 1.1595461368227936e-03
142 8 -1 2.5292187500000002e-01 1.1857583259742212e-03 2.5292049657724613e-01 1.1857730535125692e-03
143 8 0 2.5289312500000000e-01 1.2103241506636506e-03 2.5289174657724611e-01 1.2103431493180655e-03
144 9 -15 2.5916875000000000e-01 1.1460508486346712e-03 2.5916737157724612e-01 1.1460615085949499e-03
145 9 -14 2.6200218749999998e-01 1.1178899036233610e-03 2.6200080907724610e-01 1.1178972154097025e-03
146 9 -13 2.6361781249999999e-01 1.1004812468861280e-03 2.6361643407724611e-01 1.1004851726428419e-03
147 9 -12 2.6328937499999999e-01 1.1007342536312693e-03 2.6328799657724611e-01 1.1007404262089794e-03
148 9 -11 2.6166687500000002e-01 1.1184212789093328e-03 2.6166549657724614e-01 1.1184373371834345e-03
149 9 -10 2.5883031249999999e-01 1.1473193042225852e-03 2.5882893407724611e-01 1.1473324651232678e-03
150 9 -9 2.5592843749999999e-01 1.1777518069058192e-03 2.5592705907724611e-01 1.1777647495910318e-03
151 9 -8 2.5313656250000000e-01 1.1873249942022704e-03 2.5313518407724611e-01 1.1873401372759489e-03
152 9 -7 2.5105343749999998e-01 1.1763741020801681e-03 2.5105205907724609e-01 1.1763941139182085e-03
153 9 -6 2.4938593749999999e-01 1.1629800661774783e-03 2.4938455907724608e-01 1.1630011656511164e-03
154 9 -5 2.4861437500000000e-01 1.1532125979973025e-03 2.4861299657724609e-01 1.1532243446578253e-03
155 9 -4 2.4872312499999999e-01 1.1533517769926863e-03 2.4872174657724608e-01 1.1533620754553709e-03
156 9 -3 2.4948593750000000e-01 1.1614626117050311e-03 2.4948455907724609e-01 1.1614699332426087e-03
157 9 -2 2.5094656250000003e-01 1.1749747962381668e-03 2.5094518407724614e-01 1.1749852872226334e-03
158 9 -1 2.5322406250000001e-01 1.1869576142184571e-03 2.5322268407724613e-01 1.1869713146294308e-03
159 9 0 2.5610812500000002e-01 1.1768393630790005e-03 2.5610674657724614e-01 1.1768492275984381e-03
160 10 -15 2.7189437500000002e-01 1.0830689326191050e-03 2.7189299657724614e-01 1.0830723928366430e-03
