r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
0.7200000000	1.0000000000	0.5000000000	0.7743884178	0.3037954730	0.9974704936	1.1466516664	0.9974704936	0.8470963103	0.8551669298	0.8393371305	0.9905625215	0.9814892289	-0.0115272262	-0.0020449326	-0.0041411896	-0.0094822937	-0.0020962571	0.0001328769	0.0000041817	0.0000171495	0.0000899139	0.0000043943	0.0001542081	0.0000943082	0.0002485163	263.4912049031	161.0081315701	75.4823160446	218.5996808613	43.6506029043	499.9816525178	262.2502837656	762.2319362834
0.7200000000	1.0133333333	0.4962895275	0.7727632374	0.3023478223	0.9931355223	1.1485523818	0.9999047495	0.8465625894	0.8550265498	0.8388327476	0.9901009385	0.9810604686	-0.0121574841	-0.0022091011	-0.0047423002	-0.0099483830	-0.0025331991	0.0001478044	0.0000048801	0.0000224894	0.0000989703	0.0000064171	0.0001751740	0.0001053874	0.0002805614	293.0919624125	187.8975088442	98.9858400862	240.6177768212	63.7440746715	579.9753113429	304.3618514927	884.3371628356
0.7200000000	1.0266666667	0.4926251107	0.7711362225	0.3009175930	0.9888473807	1.1504318188	1.0023134541	0.8460293970	0.8548872931	0.8383297828	0.9896385217	0.9806319378	-0.0127875148	-0.0023719827	-0.0053420809	-0.0104155321	-0.0029700983	0.0001635205	0.0000056263	0.0000285378	0.0001084833	0.0000088215	0.0001976847	0.0001173048	0.0003149895	324.2565705485	216.6271337774	125.6075972987	263.7458543434	87.6279801223	666.4913016246	351.3738344657	1017.8651360903
0.7200000000	1.0400000000	0.4890059655	0.7695077129	0.2995044440	0.9846052517	1.1522903630	1.0046970389	0.8454967222	0.8547491279	0.8378281781	0.9891752967	0.9802036068	-0.0134173304	-0.0025336137	-0.0059405981	-0.0108837167	-0.0034069844	0.0001800248	0.0000064192	0.0000352907	0.0001184553	0.0000116075	0.0002217347	0.0001300628	0.0003517975	356.9839704635	247.1556937566	155.3299935520	287.9898461082	115.3032261368	759.4696577720	403.2930722450	1162.7627300170
0.7200000000	1.0533333333	0.4854313242	0.7678780339	0.2981080435	0.9804083378	1.1541283902	1.0070559255	0.8449645545	0.8546120240	0.8373278780	0.9887112875	0.9797754472	-0.0140469428	-0.0026940291	-0.0065379158	-0.0113529137	-0.0038438867	0.0001973166	0.0000072578	0.0000427443	0.0001288886	0.0000147755	0.0002473187	0.0001436641	0.0003909829	391.2732136830	279.4437541695	188.1367445090	313.3555492237	146.7716944412	858.8537123615	460.1272436649	1318.9809560264
0.7200000000	1.0666666667	0.4819004352	0.7662474969	0.2967280688	0.9762558607	1.1559462671	1.0093905258	0.8444328834	0.8544759519	0.8368288286	0.9882465171	0.9793474312	-0.0146763638	-0.0028532626	-0.0071340959	-0.0118231012	-0.0042808332	0.0002153957	0.0000081411	0.0000508953	0.0001397857	0.0000183255	0.0002744321	0.0001581113	0.0004325433	427.1234598767	313.4536480968	224.0128135751	339.8486350937	182.0362075153	964.5899215486	521.8848426090	1486.4747641576
0.7200000000	1.0800000000	0.4784125623	0.7646164001	0.2953642056	0.9721470603	1.1577443510	1.0117012422	0.8439016987	0.8543408838	0.8363309781	0.9877810072	0.9789195319	-0.0153056048	-0.0030113464	-0.0077291980	-0.0122942584	-0.0047178516	0.0002342615	0.0000090682	0.0000597405	0.0001511488	0.0000222581	0.0003030702	0.0001734069	0.0004764772	464.5339747023	349.1493731116	262.9443531017	367.4746587403	221.1004957595	1076.6277009156	588.5751544998	1665.2028554154
0.7200000000	1.0933333333	0.4749669848	0.7629850287	0.2940161478	0.9680811947	1.1595229910	1.0139884679	0.8433709903	0.8542067927	0.8358342765	0.9873147785	0.9784917231	-0.0159346773	-0.0031683114	-0.0083232800	-0.0127663659	-0.0051549685	0.0002539139	0.0000100382	0.0000692770	0.0001629801	0.0000265737	0.0003332291	0.0001895538	0.0005227829	503.5041277166	386.4964946931	304.9186486539	396.2390676042	263.9691658721	1194.9192710635	660.2082334764	1855.1275045399
0.7200000000	1.1066666667	0.4715629967	0.7613536558	0.2926835977	0.9640575392	1.1612825271	1.0162525873	0.8428407484	0.8540736528	0.8353386756	0.9868478505	0.9780639795	-0.0165635923	-0.0033241874	-0.0089163974	-0.0132394049	-0.0055922100	0.0002743526	0.0000110502	0.0000795021	0.0001752818	0.0000312728	0.0003649050	0.0002065547	0.0005714596	544.0333903479	425.4620557991	349.9240661613	426.1472098526	310.6476703836	1319.4195123082	736.7948802362	2056.2143925445
0.7200000000	1.1200000000	0.4681999068	0.7597225428	0.2913662652	0.9600753861	1.1630232915	1.0184939761	0.8423109632	0.8539414391	0.8348441289	0.9863802418	0.9776362765	-0.0171923609	-0.0034790029	-0.0095086041	-0.0137133580	-0.0060296012	0.0002955773	0.0000121035	0.0000904136	0.0001880562	0.0000363561	0.0003980943	0.0002244123	0.0006225066	586.1213339256	466.0144921739	397.9500017861	457.2043422150	361.1422783028	1450.0858278856	818.3466205178	2268.4324484034
